date,team,opponent,GF,GA,pre_rating_team,pre_rating_opponent,did_score_team,fail_to_score_team,did_receive_goal_team,not_receive_goal_team,GF_last_5_team,GA_last_5_team,qatar,magic_johnson_team,rating_team,did_score_opponent,fail_to_score_opponent,did_receive_goal_opponent,not_receive_goal_opponent,GF_last_5_opponent,GA_last_5_opponent,magic_johnson_opponent,rating_opponent
2021-09-04,Bosnia and Herzegovina,Kuwait,1,0,1643,1390,1,4,3,2,1,4,FALSE,0.810979158119948,1654,2,3,4,1,6,7,0.189020841880052,1379
2021-06-02,Bosnia and Herzegovina,Montenegro,0,0,1629,1526,2,3,4,1,3,8,FALSE,0.644033853822293,1620,3,2,3,2,10,3,0.355966146177707,1535
2021-03-31,Bosnia and Herzegovina,France,0,1,1639,2060,2,3,4,1,3,9,FALSE,0.0814003505792954,1634,4,1,3,2,8,5,0.918599649420705,2065
2021-03-27,Bosnia and Herzegovina,Costa Rica,0,0,1648,1646,2,3,5,0,3,12,FALSE,0.502878199574811,1648,2,3,5,0,4,6,0.497121800425189,1646
2020-11-12,Bosnia and Herzegovina,IR Iran,0,2,1734,1834,3,2,4,1,3,7,FALSE,0.359935000197115,1712,5,0,4,1,7,4,0.640064999802885,1856
2020-10-11,Bosnia and Herzegovina,Netherlands,0,0,1742,1919,3,2,4,1,3,5,FALSE,0.265242910683453,1756,3,2,3,2,5,4,0.734757089316547,1905
2020-10-08,Bosnia and Herzegovina,Northern Ireland,1,1,1752,1592,3,2,3,2,4,4,FALSE,0.715252751049199,1739,3,2,4,1,3,10,0.284747248950801,1605
2020-09-07,Bosnia and Herzegovina,Poland,1,2,1797,1720,2,3,2,3,3,2,FALSE,0.60903260340424,1760,2,3,5,0,3,7,0.39096739659576,1757
2021-03-25,Botswana,Zimbabwe,0,1,1354,1448,3,2,3,2,3,7,FALSE,0.367929987899926,1332,3,2,4,1,4,7,0.632070012100074,1470
2020-11-16,Botswana,Zambia,1,0,1301,1490,3,2,3,2,3,7,FALSE,0.252000458803946,1346,5,0,5,0,11,7,0.747999541196054,1445
2022-03-24,Brazil,Chile,4,0,2130,1821,4,1,2,3,10,2,FALSE,0.855542074892697,2139,4,1,4,1,7,8,0.144457925107303,1812
2022-02-01,Brazil,Paraguay,4,0,2122,1711,3,2,2,3,6,2,FALSE,0.914190259309583,2127,0,5,4,1,0,8,0.0858097406904174,1706
2021-11-11,Brazil,Colombia,1,0,2134,1920,4,1,2,3,10,2,FALSE,0.774147977701831,2148,2,3,2,3,4,2,0.225852022298169,1906
2021-10-14,Brazil,Uruguay,4,1,2122,1928,3,2,2,3,6,2,FALSE,0.753386077785615,2137,3,2,3,2,6,6,0.246613922214385,1913
2021-09-09,Brazil,Peru,2,0,2131,1839,4,1,2,3,4,2,FALSE,0.843021964414036,2140,4,1,4,1,7,8,0.156978035585964,1830
2021-07-10,Brazil,Argentina,0,1,2166,2015,5,0,2,3,9,2,FALSE,0.704584592662721,2124,5,0,2,3,10,2,0.295415407337279,2057
