year,team,Opponent,Date,goles_local,goles_visitante,qatar
2015,Morocco,C̫te d'Ivoire,2015-10-09,0,1,FALSE
2015,Spain,Luxembourg,2015-10-09,4,0,FALSE
2015,Switzerland,San Marino,2015-10-09,7,0,FALSE
2015,Tunisia,Gabon,2015-10-09,3,3,FALSE
2015,Argentina,Ecuador,2015-10-08,0,2,FALSE
2015,France,Armenia,2015-10-08,4,0,FALSE
2015,Rep. of Ireland,Germany,2015-10-08,1,0,FALSE
2015,Oman,IR Iran,2015-10-08,1,1,FALSE
2015,Syria,Japan,2015-10-08,0,3,FALSE
2015,Kuwait,Korea Republic,2015-10-08,0,1,FALSE
2015,Jordan,Australia,2015-10-08,2,0,FALSE
2015,Scotland,Poland,2015-10-08,2,2,FALSE
2015,Qatar,China PR,2015-10-08,1,0,FALSE
2015,Saudi Arabia,UAE,2015-10-08,2,1,FALSE
2015,Albania,Serbia,2015-10-08,0,2,FALSE
2015,Bolivia,Uruguay,2015-10-08,0,2,FALSE
2015,Chile,Brazil,2015-10-08,2,0,FALSE
2015,Costa Rica,South Africa,2015-10-08,0,1,FALSE
2015,Portugal,Denmark,2015-10-08,1,0,FALSE
2015,Argentina,Mexico,2015-09-08,2,2,FALSE
2015,Ecuador,Honduras,2015-09-08,2,0,FALSE
2015,England,Switzerland,2015-09-08,2,0,FALSE
2015,India,IR Iran,2015-09-08,0,3,FALSE
2015,Afghanistan,Japan,2015-09-08,0,6,FALSE
2015,Lebanon,Korea Republic,2015-09-08,0,3,FALSE
2015,Tajikistan,Australia,2015-09-08,0,3,FALSE
2015,Hong Kong,Qatar,2015-09-08,2,3,FALSE
2015,Malaysia,Saudi Arabia,2015-09-08,0,3,FALSE
2015,South Africa,Senegal,2015-09-08,1,0,FALSE
2015,N. Macedonia,Spain,2015-09-08,0,1,FALSE
2015,United States,Brazil,2015-09-08,1,4,FALSE
2015,Belize,Canada,2015-09-08,1,1,FALSE
2015,Costa Rica,Uruguay,2015-09-08,1,0,FALSE
2015,France,Serbia,2015-09-07,2,1,FALSE
2015,Scotland,Germany,2015-09-07,2,3,FALSE
2015,Poland,Gibraltar,2015-09-07,8,1,FALSE
2015,Albania,Portugal,2015-09-07,0,1,FALSE
2015,Armenia,Denmark,2015-09-07,0,0,FALSE
2015,Turkey,Netherlands,2015-09-06,3,0,FALSE
2015,Cyprus,Belgium,2015-09-06,0,1,FALSE
2015,Wales,Israel,2015-09-06,0,0,FALSE
2015,Gambia,Cameroon,2015-09-06,0,1,FALSE
2015,Norway,Croatia,2015-09-06,2,0,FALSE
2015,San Marino,England,2015-09-05,0,6,FALSE
2015,Rwanda,Ghana,2015-09-05,0,1,FALSE
2015,Ṣo Tom̩,Morocco,2015-09-05,0,3,FALSE
2015,Namibia,Senegal,2015-09-05,0,2,FALSE
2015,Spain,Slovakia,2015-09-05,2,0,FALSE
2015,Switzerland,Slovenia,2015-09-05,3,2,FALSE
2015,Liberia,Tunisia,2015-09-05,1,0,FALSE
2015,Costa Rica,Brazil,2015-09-05,0,1,FALSE
2015,Argentina,Bolivia,2015-09-04,7,0,FALSE
2015,Portugal,France,2015-09-04,0,1,FALSE
2015,Germany,Poland,2015-09-04,3,1,FALSE
2015,Mexico,Trin & Tobago,2015-09-04,3,3,FALSE
2015,Serbia,Armenia,2015-09-04,2,0,FALSE
2015,United States,Peru,2015-09-04,2,1,FALSE
2015,Panama,Uruguay,2015-09-04,0,1,FALSE
2015,Canada,Belize,2015-09-04,3,0,FALSE
2015,Denmark,Albania,2015-09-04,0,0,FALSE
2015,IR Iran,Guam,2015-09-03,6,0,FALSE
2015,Japan,Cambodia,2015-09-03,3,0,FALSE
2015,Korea Republic,Laos,2015-09-03,8,0,FALSE
2015,Australia,Bangladesh,2015-09-03,5,0,FALSE
2015,Netherlands,Iceland,2015-09-03,0,1,FALSE
2015,Qatar,Bhutan,2015-09-03,15,0,FALSE
2015,Saudi Arabia,Timor-Leste,2015-09-03,7,0,FALSE
2015,Belgium,Bosnia & Herz'na,2015-09-03,3,1,FALSE
2015,Cyprus,Wales,2015-09-03,0,1,FALSE
2015,Azerbaijan,Croatia,2015-09-03,0,0,FALSE
2015,Congo,Ghana,2015-09-01,2,3,FALSE
2015,Qatar,Singapore,2015-08-28,4,0,FALSE
2015,Jamaica,Mexico,2015-07-26,1,3,FALSE
2015,United States,Panama,2015-07-25,1,1,FALSE
2015,Panama,Mexico,2015-07-22,1,2,FALSE
2015,United States,Jamaica,2015-07-22,1,2,FALSE
2015,Mexico,Costa Rica,2015-07-19,1,0,FALSE
2015,United States,Cuba,2015-07-18,6,0,FALSE
2015,Mexico,Trin & Tobago,2015-07-15,4,4,FALSE
2015,Canada,Costa Rica,2015-07-14,0,0,FALSE
2015,Panama,United States,2015-07-13,1,1,FALSE
2015,Guatemala,Mexico,2015-07-12,0,0,FALSE
2015,Jamaica,Canada,2015-07-11,1,0,FALSE
2015,Costa Rica,El Salvador,2015-07-11,1,1,FALSE
2015,United States,Haiti,2015-07-10,1,0,FALSE
2015,Mexico,Cuba,2015-07-09,6,0,FALSE
2015,El Salvador,Canada,2015-07-08,0,0,FALSE
2015,Costa Rica,Jamaica,2015-07-08,2,2,FALSE
2015,United States,Honduras,2015-07-07,2,1,FALSE
2015,Argentina,Chile,2015-07-04,0,0,FALSE
2015,United States,Guatemala,2015-07-03,4,0,FALSE
2015,Honduras,Mexico,2015-07-01,0,0,FALSE
2015,Argentina,Paraguay,2015-06-30,6,1,FALSE
2015,Brazil,Paraguay,2015-06-27,1,1,FALSE
2015,Mexico,Costa Rica,2015-06-27,2,2,FALSE
2015,Argentina,Colombia,2015-06-26,0,0,FALSE
2015,Uruguay,Chile,2015-06-24,0,1,FALSE
2015,Brazil,Venezuela,2015-06-21,2,1,FALSE
2015,Argentina,Jamaica,2015-06-20,1,0,FALSE
2015,Uruguay,Paraguay,2015-06-20,1,1,FALSE
2015,Ecuador,Mexico,2015-06-19,2,1,FALSE
2015,Brazil,Colombia,2015-06-17,0,1,FALSE
2015,Argentina,Uruguay,2015-06-16,1,0,FALSE
2015,Turkmenistan,IR Iran,2015-06-16,1,1,FALSE
2015,Japan,Singapore,2015-06-16,0,0,FALSE
2015,Myanmar,Korea Republic,2015-06-16,0,2,FALSE
2015,Kyrgyz Republic,Australia,2015-06-16,1,2,FALSE
2015,Poland,Greece,2015-06-16,0,0,FALSE
2015,Italy,Portugal,2015-06-16,0,1,FALSE
2015,Canada,Dominica,2015-06-16,4,0,FALSE
2015,Ecuador,Bolivia,2015-06-15,2,3,FALSE
2015,Mexico,Chile,2015-06-15,3,3,FALSE
2015,Slovenia,England,2015-06-14,2,3,FALSE
2015,Ghana,Mauritius,2015-06-14,7,1,FALSE
2015,Belarus,Spain,2015-06-14,0,1,FALSE
2015,Lithuania,Switzerland,2015-06-14,1,2,FALSE
2015,Brazil,Peru,2015-06-14,2,1,FALSE
2015,Cameroon,Mauritania,2015-06-14,1,0,FALSE
2015,Argentina,Paraguay,2015-06-13,2,2,FALSE
2015,Albania,France,2015-06-13,1,0,FALSE
2015,Gibraltar,Germany,2015-06-13,0,7,FALSE
2015,Poland,Georgia,2015-06-13,4,0,FALSE
2015,Armenia,Portugal,2015-06-13,2,3,FALSE
2015,Senegal,Burundi,2015-06-13,3,1,FALSE
2015,Uruguay,Jamaica,2015-06-13,1,0,FALSE
2015,Denmark,Serbia,2015-06-13,2,0,FALSE
2015,Mexico,Bolivia,2015-06-12,0,0,FALSE
2015,Morocco,Libya,2015-06-12,1,0,FALSE
2015,Latvia,Netherlands,2015-06-12,0,2,FALSE
2015,Tunisia,Djibouti,2015-06-12,8,1,FALSE
2015,Wales,Belgium,2015-06-12,1,0,FALSE
2015,Croatia,Italy,2015-06-12,1,1,FALSE
2015,Ecuador,Chile,2015-06-11,0,2,FALSE
2015,Uzbekistan,IR Iran,2015-06-11,0,1,FALSE
2015,Japan,Iraq,2015-06-11,4,0,FALSE
2015,Korea Republic,UAE,2015-06-11,3,0,FALSE
2015,Maldives,Qatar,2015-06-11,0,1,FALSE
2015,Saudi Arabia,Palestine,2015-06-11,3,2,FALSE
2015,Dominica,Canada,2015-06-11,0,2,FALSE
2015,Spain,Costa Rica,2015-06-11,2,1,FALSE
2015,Germany,United States,2015-06-10,1,2,FALSE
2015,Switzerland,Liechtenstein,2015-06-10,3,0,FALSE
2015,Brazil,Honduras,2015-06-10,1,0,FALSE
2015,Congo DR,Cameroon,2015-06-09,1,1,FALSE
2015,Ghana,Togo,2015-06-08,1,0,FALSE
2015,Denmark,Montenegro,2015-06-08,2,1,FALSE
2015,Rep. of Ireland,England,2015-06-07,0,0,FALSE
2015,Mauritania,Senegal,2015-06-07,1,0,FALSE
2015,Serbia,Azerbaijan,2015-06-07,4,1,FALSE
2015,France,Belgium,2015-06-07,3,4,FALSE
2015,Brazil,Mexico,2015-06-07,2,0,FALSE
2015,Croatia,Gibraltar,2015-06-07,4,0,FALSE
2015,Argentina,Bolivia,2015-06-06,5,0,FALSE
2015,Ecuador,Panama,2015-06-06,4,0,FALSE
2015,Uruguay,Guatemala,2015-06-06,5,1,FALSE
2015,Burkina Faso,Cameroon,2015-06-06,2,3,FALSE
2015,Colombia,Costa Rica,2015-06-06,1,0,FALSE
2015,Netherlands,United States,2015-06-05,3,4,FALSE
2015,Scotland,Qatar,2015-06-05,1,0,FALSE
2015,Panama,Ecuador,2015-06-03,1,1,FALSE
2015,Peru,Mexico,2015-06-03,1,1,FALSE
2015,Northern Ireland,Qatar,2015-05-31,1,1,FALSE
2015,Mexico,Guatemala,2015-05-30,3,0,FALSE
2015,United States,Mexico,2015-04-15,2,0,FALSE
2015,Argentina,Ecuador,2015-03-31,2,1,FALSE
2015,Italy,England,2015-03-31,1,1,FALSE
2015,Ghana,Mali,2015-03-31,1,1,FALSE
2015,Sweden,IR Iran,2015-03-31,3,1,FALSE
2015,Japan,Uzbekistan,2015-03-31,5,1,FALSE
2015,Korea Republic,New Zealand,2015-03-31,1,0,FALSE
2015,Mexico,Paraguay,2015-03-31,1,0,FALSE
2015,Netherlands,Spain,2015-03-31,2,0,FALSE
2015,Portugal,Cape Verde,2015-03-31,0,2,FALSE
2015,Switzerland,United States,2015-03-31,1,1,FALSE
2015,China PR,Tunisia,2015-03-31,1,1,FALSE
2015,Israel,Belgium,2015-03-31,0,1,FALSE
2015,Panama,Costa Rica,2015-03-31,2,1,FALSE
2015,N. Macedonia,Australia,2015-03-30,0,0,FALSE
2015,Qatar,Slovenia,2015-03-30,1,0,FALSE
2015,Saudi Arabia,Jordan,2015-03-30,2,1,FALSE
2015,Thailand,Cameroon,2015-03-30,2,3,FALSE
2015,Puerto Rico,Canada,2015-03-30,0,3,FALSE
2015,Georgia,Germany,2015-03-29,0,2,FALSE
2015,Rep. of Ireland,Poland,2015-03-29,1,1,FALSE
2015,Portugal,Serbia,2015-03-29,2,1,FALSE
2015,Brazil,Chile,2015-03-29,1,0,FALSE
2015,France,Denmark,2015-03-29,2,0,FALSE
2015,El Salvador,Argentina,2015-03-28,0,2,FALSE
2015,Mexico,Ecuador,2015-03-28,1,0,FALSE
2015,Ghana,Senegal,2015-03-28,1,2,FALSE
2015,Morocco,Uruguay,2015-03-28,0,1,FALSE
2015,Netherlands,Turkey,2015-03-28,1,1,FALSE
2015,Belgium,Cyprus,2015-03-28,5,0,FALSE
2015,Israel,Wales,2015-03-28,0,3,FALSE
2015,Croatia,Norway,2015-03-28,5,1,FALSE
2015,England,Lithuania,2015-03-27,4,0,FALSE
2015,Japan,Tunisia,2015-03-27,2,0,FALSE
2015,Korea Republic,Uzbekistan,2015-03-27,1,1,FALSE
2015,Spain,Ukraine,2015-03-27,1,0,FALSE
2015,Switzerland,Estonia,2015-03-27,3,0,FALSE
2015,Canada,Guatemala,2015-03-27,1,0,FALSE
2015,IR Iran,Chile,2015-03-26,2,0,FALSE
2015,Qatar,Algeria,2015-03-26,1,0,FALSE
2015,France,Brazil,2015-03-26,1,3,FALSE
2015,Costa Rica,Paraguay,2015-03-26,0,0,FALSE
2015,Germany,Australia,2015-03-25,2,2,FALSE
2015,Indonesia,Cameroon,2015-03-25,0,1,FALSE
2015,Denmark,United States,2015-03-25,3,2,FALSE
2015,Ghana,C̫te d'Ivoire,2015-02-08,0,0,FALSE
2015,United States,Panama,2015-02-08,2,0,FALSE
2015,Ghana,Equ. Guinea,2015-02-05,3,0,FALSE
2015,Ghana,Equ. Guinea,2015-02-01,3,0,FALSE
2015,Australia,Korea Republic,2015-01-31,2,1,FALSE
2015,Tunisia,Equ. Guinea,2015-01-31,1,2,FALSE
2015,Chile,United States,2015-01-28,3,2,FALSE
2015,Cameroon,C̫te d'Ivoire,2015-01-28,0,1,FALSE
2015,South Africa,Ghana,2015-01-27,1,2,FALSE
2015,Australia,UAE,2015-01-27,2,0,FALSE
2015,Senegal,Algeria,2015-01-27,0,2,FALSE
2015,Korea Republic,Iraq,2015-01-26,2,0,FALSE
2015,Congo DR,Tunisia,2015-01-26,1,1,FALSE
2015,Cameroon,Equ. Guinea,2015-01-24,1,1,FALSE
2015,Ghana,Algeria,2015-01-23,1,0,FALSE
2015,IR Iran,Iraq,2015-01-23,3,3,FALSE
2015,Japan,UAE,2015-01-23,1,1,FALSE
2015,South Africa,Senegal,2015-01-23,1,1,FALSE
2015,Korea Republic,Uzbekistan,2015-01-22,2,0,FALSE
2015,Australia,China PR,2015-01-22,2,0,FALSE
2015,Zambia,Tunisia,2015-01-22,1,2,FALSE
2015,Japan,Jordan,2015-01-20,2,0,FALSE
2015,Mali,Cameroon,2015-01-20,1,1,FALSE
2015,Ghana,Senegal,2015-01-19,1,2,FALSE
2015,IR Iran,UAE,2015-01-19,1,0,FALSE
2015,Qatar,Bahrain,2015-01-19,1,2,FALSE
2015,Canada,Iceland,2015-01-19,1,1,FALSE
2015,Saudi Arabia,Uzbekistan,2015-01-18,1,3,FALSE
2015,Tunisia,Cape Verde,2015-01-18,1,1,FALSE
2015,Australia,Korea Republic,2015-01-17,0,1,FALSE
2015,Japan,Iraq,2015-01-16,1,0,FALSE
2015,Canada,Iceland,2015-01-16,1,2,FALSE
2015,Qatar,IR Iran,2015-01-15,0,1,FALSE
2015,Saudi Arabia,Korea DPR,2015-01-14,4,1,FALSE
2015,Korea Republic,Kuwait,2015-01-13,1,0,FALSE
2015,Australia,Oman,2015-01-13,4,0,FALSE
2015,Senegal,Equ. Guinea,2015-01-13,5,2,FALSE
2015,Japan,Palestine,2015-01-12,4,0,FALSE
2015,IR Iran,Bahrain,2015-01-11,2,0,FALSE
2015,Qatar,UAE,2015-01-11,1,4,FALSE
2015,Tunisia,Algeria,2015-01-11,1,1,FALSE
2015,Korea Republic,Oman,2015-01-10,1,0,FALSE
2015,Saudi Arabia,China PR,2015-01-10,0,1,FALSE
2015,Cameroon,South Africa,2015-01-10,1,1,FALSE
2015,Australia,Kuwait,2015-01-09,4,1,FALSE
2015,Senegal,Gabon,2015-01-09,1,0,FALSE
2015,Cameroon,Congo DR,2015-01-07,1,1,FALSE
2014,Saudi Arabia,Bahrain,2014-12-30,1,4,FALSE
2014,Qatar,Estonia,2014-12-27,3,0,FALSE
2014,Ghana,Togo,2014-11-19,3,1,FALSE
2014,Senegal,Botswana,2014-11-19,3,0,FALSE
2014,Tunisia,Egypt,2014-11-19,2,1,FALSE
2014,C̫te d'Ivoire,Cameroon,2014-11-19,0,0,FALSE
2014,Argentina,Portugal,2014-11-18,0,1,FALSE
2014,Scotland,England,2014-11-18,1,3,FALSE
2014,France,Sweden,2014-11-18,1,0,FALSE
2014,Spain,Germany,2014-11-18,0,1,FALSE
2014,IR Iran,Korea Republic,2014-11-18,1,0,FALSE
2014,Belarus,Mexico,2014-11-18,3,2,FALSE
2014,Japan,Australia,2014-11-18,2,1,FALSE
2014,Poland,Switzerland,2014-11-18,2,2,FALSE
2014,Greece,Serbia,2014-11-18,0,2,FALSE
2014,Rep. of Ireland,United States,2014-11-18,4,1,FALSE
2014,Chile,Uruguay,2014-11-18,1,2,FALSE
2014,Austria,Brazil,2014-11-18,1,2,FALSE
2014,Panama,Canada,2014-11-18,0,0,FALSE
2014,Romania,Denmark,2014-11-18,2,0,FALSE
2014,Morocco,Zimbabwe,2014-11-16,2,1,FALSE
2014,Netherlands,Latvia,2014-11-16,6,0,FALSE
2014,Belgium,Wales,2014-11-16,0,0,FALSE
2014,Italy,Croatia,2014-11-16,1,1,FALSE
2014,England,Slovenia,2014-11-15,3,1,FALSE
2014,Uganda,Ghana,2014-11-15,1,0,FALSE
2014,Egypt,Senegal,2014-11-15,0,1,FALSE
2014,Spain,Belarus,2014-11-15,3,0,FALSE
2014,Switzerland,Lithuania,2014-11-15,4,0,FALSE
2014,Cameroon,Congo DR,2014-11-15,1,0,FALSE
2014,France,Albania,2014-11-14,1,1,FALSE
2014,Germany,Gibraltar,2014-11-14,4,0,FALSE
2014,Japan,Honduras,2014-11-14,6,0,FALSE
2014,Jordan,Korea Republic,2014-11-14,0,1,FALSE
2014,Georgia,Poland,2014-11-14,0,4,FALSE
2014,Portugal,Armenia,2014-11-14,1,0,FALSE
2014,Botswana,Tunisia,2014-11-14,0,0,FALSE
2014,United States,Colombia,2014-11-14,1,2,FALSE
2014,Serbia,Denmark,2014-11-14,1,3,FALSE
2014,Morocco,Benin,2014-11-13,6,1,FALSE
2014,Uruguay,Costa Rica,2014-11-13,3,3,FALSE
2014,Argentina,Croatia,2014-11-12,2,1,FALSE
2014,Netherlands,Mexico,2014-11-12,2,3,FALSE
2014,Belgium,Iceland,2014-11-12,3,1,FALSE
2014,Turkey,Brazil,2014-11-12,0,4,FALSE
2014,Qatar,Korea DPR,2014-11-06,3,1,FALSE
2014,Saudi Arabia,Palestine,2014-11-06,2,0,FALSE
2014,Ghana,Equ. Guinea,2014-10-15,3,1,FALSE
2014,Tunisia,Senegal,2014-10-15,1,0,FALSE
2014,Cameroon,Sierra Leone,2014-10-15,2,0,FALSE
2014,Hong Kong,Argentina,2014-10-14,0,7,FALSE
2014,El Salvador,Ecuador,2014-10-14,1,5,FALSE
2014,Armenia,France,2014-10-14,0,3,FALSE
2014,Germany,Rep. of Ireland,2014-10-14,1,1,FALSE
2014,Qatar,Australia,2014-10-14,1,0,FALSE
2014,Poland,Scotland,2014-10-14,2,2,FALSE
2014,Saudi Arabia,Lebanon,2014-10-14,1,1,FALSE
2014,Serbia,Albania,2014-10-14,0,3,FALSE
2014,San Marino,Switzerland,2014-10-14,0,4,FALSE
2014,United States,Honduras,2014-10-14,1,1,FALSE
2014,Japan,Brazil,2014-10-14,0,4,FALSE
2014,Canada,Colombia,2014-10-14,0,1,FALSE
2014,Korea Republic,Costa Rica,2014-10-14,1,3,FALSE
2014,Denmark,Portugal,2014-10-14,0,1,FALSE
2014,Morocco,Kenya,2014-10-13,3,0,FALSE
2014,Iceland,Netherlands,2014-10-13,2,0,FALSE
2014,Bosnia & Herz'na,Belgium,2014-10-13,1,1,FALSE
2014,Oman,Uruguay,2014-10-13,0,3,FALSE
2014,Wales,Cyprus,2014-10-13,2,1,FALSE
2014,Croatia,Azerbaijan,2014-10-13,6,0,FALSE
2014,Estonia,England,2014-10-12,0,1,FALSE
2014,Mexico,Panama,2014-10-12,1,0,FALSE
2014,Luxembourg,Spain,2014-10-12,0,4,FALSE
2014,France,Portugal,2014-10-11,2,1,FALSE
2014,Poland,Germany,2014-10-11,2,0,FALSE
2014,Equ. Guinea,Ghana,2014-10-11,1,1,FALSE
2014,Armenia,Serbia,2014-10-11,1,1,FALSE
2014,Sierra Leone,Cameroon,2014-10-11,0,0,FALSE
2014,Albania,Denmark,2014-10-11,1,1,FALSE
2014,United States,Ecuador,2014-10-10,1,1,FALSE
2014,Japan,Jamaica,2014-10-10,1,0,FALSE
2014,Korea Republic,Paraguay,2014-10-10,2,0,FALSE
2014,UAE,Australia,2014-10-10,0,0,FALSE
2014,Netherlands,Kazakhstan,2014-10-10,3,1,FALSE
2014,Saudi Arabia,Uruguay,2014-10-10,1,1,FALSE
2014,Senegal,Tunisia,2014-10-10,0,0,FALSE
2014,Belgium,Andorra,2014-10-10,6,0,FALSE
2014,Wales,Bosnia & Herz'na,2014-10-10,0,0,FALSE
2014,Oman,Costa Rica,2014-10-10,3,4,FALSE
2014,Bulgaria,Croatia,2014-10-10,0,1,FALSE
2014,England,San Marino,2014-10-09,5,0,FALSE
2014,Mexico,Honduras,2014-10-09,2,0,FALSE
2014,Morocco,CAR,2014-10-09,4,0,FALSE
2014,Qatar,Lebanon,2014-10-09,5,0,FALSE
2014,Slovakia,Spain,2014-10-09,2,1,FALSE
2014,Slovenia,Switzerland,2014-10-09,1,0,FALSE
2014,Qatar,Uzbekistan,2014-10-06,3,0,FALSE
2014,Togo,Ghana,2014-09-10,2,3,FALSE
2014,Botswana,Senegal,2014-09-10,0,2,FALSE
2014,Egypt,Tunisia,2014-09-10,0,1,FALSE
2014,Cameroon,C̫te d'Ivoire,2014-09-10,4,1,FALSE
2014,Japan,Venezuela,2014-09-09,3,0,FALSE
2014,Bolivia,Mexico,2014-09-09,0,1,FALSE
2014,Czech Republic,Netherlands,2014-09-09,2,1,FALSE
2014,Qatar,Peru,2014-09-09,0,2,FALSE
2014,Andorra,Wales,2014-09-09,1,2,FALSE
2014,Brazil,Ecuador,2014-09-09,1,0,FALSE
2014,Canada,Jamaica,2014-09-09,3,1,FALSE
2014,Croatia,Malta,2014-09-09,2,0,FALSE
2014,Switzerland,England,2014-09-08,0,2,FALSE
2014,Korea Republic,Uruguay,2014-09-08,0,1,FALSE
2014,Saudi Arabia,Australia,2014-09-08,2,3,FALSE
2014,Spain,N. Macedonia,2014-09-08,5,1,FALSE
2014,Serbia,France,2014-09-07,1,1,FALSE
2014,Germany,Scotland,2014-09-07,2,1,FALSE
2014,Morocco,Libya,2014-09-07,3,0,FALSE
2014,Gibraltar,Poland,2014-09-07,0,7,FALSE
2014,Portugal,Albania,2014-09-07,0,1,FALSE
2014,Denmark,Armenia,2014-09-07,2,1,FALSE
2014,Bolivia,Ecuador,2014-09-06,0,4,FALSE
2014,Ghana,Uganda,2014-09-06,1,1,FALSE
2014,Chile,Mexico,2014-09-06,0,0,FALSE
2014,Tunisia,Botswana,2014-09-06,2,1,FALSE
2014,Congo DR,Cameroon,2014-09-06,0,2,FALSE
2014,Japan,Uruguay,2014-09-05,0,2,FALSE
2014,Korea Republic,Venezuela,2014-09-05,3,1,FALSE
2014,Senegal,Egypt,2014-09-05,2,0,FALSE
2014,Brazil,Colombia,2014-09-05,1,0,FALSE
2014,France,Spain,2014-09-04,1,0,FALSE
2014,Belgium,Australia,2014-09-04,2,0,FALSE
2014,Italy,Netherlands,2014-09-04,2,0,FALSE
2014,Croatia,Cyprus,2014-09-04,2,0,FALSE
2014,Germany,Argentina,2014-09-03,2,4,FALSE
2014,England,Norway,2014-09-03,1,0,FALSE
2014,Morocco,Qatar,2014-09-03,0,0,FALSE
2014,Czech Republic,United States,2014-09-03,0,1,FALSE
2014,Denmark,Turkey,2014-09-03,1,2,FALSE
2014,Qatar,Indonesia,2014-07-14,2,2,FALSE
2014,Argentina,Germany,2014-07-13,0,1,FALSE
2014,Netherlands,Brazil,2014-07-12,3,0,FALSE
2014,Netherlands,Argentina,2014-07-09,0,0,FALSE
2014,Germany,Brazil,2014-07-08,7,1,FALSE
2014,Argentina,Belgium,2014-07-05,1,0,FALSE
2014,Netherlands,Costa Rica,2014-07-05,0,0,FALSE
2014,France,Germany,2014-07-04,0,1,FALSE
2014,Brazil,Colombia,2014-07-04,2,1,FALSE
2014,Argentina,Switzerland,2014-07-01,1,0,FALSE
2014,United States,Belgium,2014-07-01,1,2,FALSE
2014,France,Nigeria,2014-06-30,2,0,FALSE
2014,Germany,Algeria,2014-06-30,2,1,FALSE
2014,Netherlands,Mexico,2014-06-29,2,1,FALSE
2014,Costa Rica,Greece,2014-06-29,1,1,FALSE
2014,Uruguay,Colombia,2014-06-28,0,2,FALSE
2014,Brazil,Chile,2014-06-28,1,1,FALSE
2014,United States,Germany,2014-06-26,0,1,FALSE
2014,Ghana,Portugal,2014-06-26,1,2,FALSE
2014,Belgium,Korea Republic,2014-06-26,1,0,FALSE
2014,Argentina,Nigeria,2014-06-25,3,2,FALSE
2014,Ecuador,France,2014-06-25,0,0,FALSE
2014,IR Iran,Bosnia & Herz'na,2014-06-25,1,3,FALSE
2014,Switzerland,Honduras,2014-06-25,3,0,FALSE
2014,Japan,Colombia,2014-06-24,1,4,FALSE
2014,Uruguay,Italy,2014-06-24,1,0,FALSE
2014,England,Costa Rica,2014-06-24,0,0,FALSE
2014,Australia,Spain,2014-06-23,0,3,FALSE
2014,Netherlands,Chile,2014-06-23,2,0,FALSE
2014,Brazil,Cameroon,2014-06-23,4,1,FALSE
2014,Mexico,Croatia,2014-06-23,3,1,FALSE
2014,Korea Republic,Algeria,2014-06-22,2,4,FALSE
2014,United States,Portugal,2014-06-22,2,2,FALSE
2014,Belgium,Russia,2014-06-22,1,0,FALSE
2014,IR Iran,Argentina,2014-06-21,0,1,FALSE
2014,Germany,Ghana,2014-06-21,2,2,FALSE
2014,Ecuador,Honduras,2014-06-20,2,1,FALSE
2014,France,Switzerland,2014-06-20,5,2,FALSE
2014,Costa Rica,Italy,2014-06-20,1,0,FALSE
2014,England,Uruguay,2014-06-19,1,2,FALSE
2014,Japan,Greece,2014-06-19,0,0,FALSE
2014,Netherlands,Australia,2014-06-18,3,2,FALSE
2014,Spain,Chile,2014-06-18,0,2,FALSE
2014,Croatia,Cameroon,2014-06-18,4,0,FALSE
2014,Korea Republic,Russia,2014-06-17,1,1,FALSE
2014,Belgium,Algeria,2014-06-17,2,1,FALSE
2014,Mexico,Brazil,2014-06-17,0,0,FALSE
2014,Germany,Portugal,2014-06-16,4,0,FALSE
2014,United States,Ghana,2014-06-16,2,1,FALSE
2014,IR Iran,Nigeria,2014-06-16,0,0,FALSE
2014,Argentina,Bosnia & Herz'na,2014-06-15,2,1,FALSE
2014,Ecuador,Switzerland,2014-06-15,1,2,FALSE
2014,France,Honduras,2014-06-15,3,0,FALSE
2014,England,Italy,2014-06-14,1,2,FALSE
2014,Japan,C̫te d'Ivoire,2014-06-14,1,2,FALSE
2014,Costa Rica,Uruguay,2014-06-14,3,1,FALSE
2014,Australia,Chile,2014-06-13,1,3,FALSE
2014,Netherlands,Spain,2014-06-13,5,1,FALSE
2014,Mexico,Cameroon,2014-06-13,1,0,FALSE
2014,Croatia,Brazil,2014-06-12,1,3,FALSE
2014,Rep. of Ireland,Portugal,2014-06-10,1,5,FALSE
2014,Ghana,Korea Republic,2014-06-09,4,0,FALSE
2014,France,Jamaica,2014-06-08,8,0,FALSE
2014,IR Iran,Trin & Tobago,2014-06-08,2,0,FALSE
2014,Argentina,Slovenia,2014-06-07,2,0,FALSE
2014,England,Honduras,2014-06-07,0,0,FALSE
2014,El Salvador,Spain,2014-06-07,0,2,FALSE
2014,Belgium,Tunisia,2014-06-07,1,0,FALSE
2014,United States,Nigeria,2014-06-07,2,1,FALSE
2014,Cameroon,Moldova,2014-06-07,1,0,FALSE
2014,Germany,Armenia,2014-06-06,6,1,FALSE
2014,Japan,Zambia,2014-06-06,4,3,FALSE
2014,Russia,Morocco,2014-06-06,2,0,FALSE
2014,Croatia,Australia,2014-06-06,1,0,FALSE
2014,Poland,Lithuania,2014-06-06,2,1,FALSE
2014,Brazil,Serbia,2014-06-06,1,0,FALSE
2014,Costa Rica,Rep. of Ireland,2014-06-06,1,1,FALSE
2014,Argentina,Trin & Tobago,2014-06-04,3,0,FALSE
2014,Ecuador,England,2014-06-04,2,2,FALSE
2014,Netherlands,Wales,2014-06-04,2,0,FALSE
