year,team,all_matches,all_matches_win,all_matches_lost,all_matches_drawn,all_GF,all_GA,all_Gdiff,all_efectividad,all_fail_GF,all_fail_GA,all_nrm_fail_GF,all_nrm_fail_GA,all_nrm_GF,all_nrm_GA,all_nrm_Gdiff,Away_matches,Away_matches_win,Away_matches_lost,Away_matches_drawn,Away_GF,Away_GA,Away_Gdiff,Away_efectividad,Away_fail_GF,Away_fail_GA,Away_nrm_fail_GF,Away_nrm_fail_GA,Away_nrm_GF,Away_nrm_GA,Away_nrm_Gdiff,Home_matches,Home_matches_win,Home_matches_lost,Home_matches_drawn,Home_GF,Home_GA,Home_Gdiff,Home_efectividad,Home_fail_GF,Home_fail_GA,Home_nrm_fail_GF,Home_nrm_fail_GA,Home_nrm_GF,Home_nrm_GA,Home_nrm_Gdiff,Neutral_matches,Neutral_matches_win,Neutral_matches_lost,Neutral_matches_drawn,Neutral_GF,Neutral_GA,Neutral_Gdiff,Neutral_efectividad,Neutral_fail_GF,Neutral_fail_GA,Neutral_nrm_fail_GF,Neutral_nrm_fail_GA,Neutral_nrm_GF,Neutral_nrm_GA,Neutral_nrm_Gdiff
2013,Australia,4,2,0,2,8,3,5,0.5,0,0,0,0,2,0.75,1.25,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,3,2,0,1,7,2,5,0.666666666666667,0,0,0,0,2.33333333333333,0.666666666666667,1.66666666666667,,,,,,,,,,,,,,,
2014,Australia,11,1,8,2,11,22,-11,0.0909090909090909,5,5,0.454545454545455,0.454545454545455,1,2,-1,6,1,4,1,4,8,-4,0.166666666666667,4,4,0.666666666666667,0.666666666666667,0.666666666666667,1.33333333333333,-0.666666666666667,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,4,0,4,0,6,13,-7,0,1,1,0.25,0.25,1.5,3.25,-1.75
2015,Australia,14,10,2,2,33,8,25,0.714285714285714,3,3,0.214285714285714,0.214285714285714,2.35714285714286,0.571428571428571,1.78571428571429,6,3,1,2,11,5,6,0.5,2,2,0.333333333333333,0.333333333333333,1.83333333333333,0.833333333333333,1,2,2,0,0,8,0,8,1,0,0,0,0,4,0,4,6,5,1,0,14,3,11,0.833333333333333,1,1,0.166666666666667,0.166666666666667,2.33333333333333,0.5,1.83333333333333
2016,Australia,10,5,2,3,23,10,13,0.5,0,0,0,0,2.3,1,1.3,4,1,1,2,6,6,0,0.25,0,0,0,0,1.5,1.5,0,6,4,1,1,17,4,13,0.666666666666667,0,0,0,0,2.83333333333333,0.666666666666667,2.16666666666667,,,,,,,,,,,,,,,
2017,Australia,11,4,3,4,15,17,-2,0.363636363636364,2,2,0.181818181818182,0.181818181818182,1.36363636363636,1.54545454545455,-0.181818181818182,3,0,1,2,2,4,-2,0,1,1,0.333333333333333,0.333333333333333,0.666666666666667,1.33333333333333,-0.666666666666667,5,4,1,0,9,8,1,0.8,1,1,0.2,0.2,1.8,1.6,0.2,3,0,1,2,4,5,-1,0,0,0,0,0,1.33333333333333,1.66666666666667,-0.333333333333333
2018,Australia,11,5,3,3,22,11,11,0.454545454545455,2,2,0.181818181818182,0.181818181818182,2,1,1,4,2,1,1,7,5,2,0.5,1,1,0.25,0.25,1.75,1.25,0.5,3,2,0,1,8,1,7,0.666666666666667,0,0,0,0,2.66666666666667,0.333333333333333,2.33333333333333,4,1,2,1,7,5,2,0.25,1,1,0.25,0.25,1.75,1.25,0.5
2019,Australia,10,6,3,1,22,6,16,0.6,4,4,0.4,0.4,2.2,0.6,1.6,4,3,1,0,11,2,9,0.75,1,1,0.25,0.25,2.75,0.5,2.25,1,1,0,0,5,0,5,1,0,0,0,0,5,0,5,5,2,2,1,6,4,2,0.4,3,3,0.6,0.6,1.2,0.8,0.4
2021,Australia,10,7,1,2,21,5,16,0.7,1,1,0.1,0.1,2.1,0.5,1.6,4,2,1,1,6,3,3,0.5,0,0,0,0,1.5,0.75,0.75,6,5,0,1,15,2,13,0.833333333333333,1,1,0.166666666666667,0.166666666666667,2.5,0.333333333333333,2.16666666666667,,,,,,,,,,,,,,,
2022,Australia,10,5,3,2,14,11,3,0.5,3,3,0.3,0.3,1.4,1.1,0.3,3,1,1,1,4,3,1,0.333333333333333,1,1,0.333333333333333,0.333333333333333,1.33333333333333,1,0.333333333333333,3,2,1,0,5,2,3,0.666666666666667,1,1,0.333333333333333,0.333333333333333,1.66666666666667,0.666666666666667,1,4,2,1,1,5,6,-1,0.5,1,1,0.25,0.25,1.25,1.5,-0.25
2010,Belgium,4,1,2,1,8,8,0,0.25,1,1,0.25,0.25,2,2,0,2,1,1,0,4,3,1,0.5,0,0,0,0,2,1.5,0.5,2,0,1,1,4,5,-1,0,1,1,0.5,0.5,2,2.5,-0.5,,,,,,,,,,,,,,,
2011,Belgium,6,3,1,2,13,7,6,0.5,0,0,0,0,2.16666666666667,1.16666666666667,1,3,1,1,1,4,4,0,0.333333333333333,0,0,0,0,1.33333333333333,1.33333333333333,0,3,2,0,1,9,3,6,0.666666666666667,0,0,0,0,3,1,2,,,,,,,,,,,,,,,
2012,Belgium,4,3,0,1,8,1,7,0.75,0,0,0,0,2,0.25,1.75,2,2,0,0,5,0,5,1,0,0,0,0,2.5,0,2.5,2,1,0,1,3,1,2,0.5,0,0,0,0,1.5,0.5,1,,,,,,,,,,,,,,,
2013,Belgium,6,5,0,1,10,3,7,0.833333333333333,0,0,0,0,1.66666666666667,0.5,1.16666666666667,3,3,0,0,6,1,5,1,0,0,0,0,2,0.333333333333333,1.66666666666667,3,2,0,1,4,2,2,0.666666666666667,0,0,0,0,1.33333333333333,0.666666666666667,0.666666666666667,,,,,,,,,,,,,,,
2014,Belgium,14,10,1,3,28,8,20,0.714285714285714,2,2,0.142857142857143,0.142857142857143,2,0.571428571428571,1.42857142857143,2,1,0,1,3,1,2,0.5,0,0,0,0,1.5,0.5,1,7,5,0,2,19,4,15,0.714285714285714,1,1,0.142857142857143,0.142857142857143,2.71428571428571,0.571428571428571,2.14285714285714,5,4,1,0,6,3,3,0.8,1,1,0.2,0.2,1.2,0.6,0.6
2015,Belgium,10,8,1,0,24,8,16,0.8,2,2,0.2,0.2,2.4,0.8,1.6,5,4,1,0,10,5,5,0.8,1,1,0.2,0.2,2,1,1,5,4,0,0,14,3,11,0.8,1,1,0.2,0.2,2.8,0.6,2.2,,,,,,,,,,,,,,,
2016,Belgium,15,9,4,2,38,15,23,0.6,2,2,0.133333333333333,0.133333333333333,2.53333333333333,1,1.53333333333333,5,3,1,1,13,4,9,0.6,0,0,0,0,2.6,0.8,1.8,5,3,1,1,16,6,10,0.6,1,1,0.2,0.2,3.2,1.2,2,5,3,2,0,9,5,4,0.6,1,1,0.2,0.2,1.8,1,0.8
2017,Belgium,10,7,0,3,31,12,19,0.7,0,0,0,0,3.1,1.2,1.9,4,3,0,1,11,7,4,0.75,0,0,0,0,2.75,1.75,1,6,4,0,2,20,5,15,0.666666666666667,0,0,0,0,3.33333333333333,0.833333333333333,2.5,,,,,,,,,,,,,,,
2018,Belgium,17,13,2,2,41,14,27,0.764705882352941,2,2,0.117647058823529,0.117647058823529,2.41176470588235,0.823529411764706,1.58823529411765,3,2,1,0,9,5,4,0.666666666666667,0,0,0,0,3,1.66666666666667,1.33333333333333,7,5,0,2,16,3,13,0.714285714285714,1,1,0.142857142857143,0.142857142857143,2.28571428571429,0.428571428571429,1.85714285714286,7,6,1,0,16,6,10,0.857142857142857,1,1,0.142857142857143,0.142857142857143,2.28571428571429,0.857142857142857,1.42857142857143
2019,Belgium,10,10,0,0,40,3,37,1,0,0,0,0,4,0.3,3.7,5,5,0,0,16,1,15,1,0,0,0,0,3.2,0.2,3,5,5,0,0,24,2,22,1,0,0,0,0,4.8,0.4,4.4,,,,,,,,,,,,,,,
2020,Belgium,8,6,1,1,19,8,11,0.75,0,0,0,0,2.375,1,1.375,3,2,1,0,5,3,2,0.666666666666667,0,0,0,0,1.66666666666667,1,0.666666666666667,5,4,0,1,14,5,9,0.8,0,0,0,0,2.8,1,1.8,,,,,,,,,,,,,,,
2021,Belgium,17,11,3,3,39,15,24,0.647058823529412,0,0,0,0,2.29411764705882,0.882352941176471,1.41176470588235,4,2,0,2,8,4,4,0.5,0,0,0,0,2,1,1,7,5,1,1,20,5,15,0.714285714285714,0,0,0,0,2.85714285714286,0.714285714285714,2.14285714285714,6,4,2,0,11,6,5,0.666666666666667,0,0,0,0,1.83333333333333,1,0.833333333333333
2022,Belgium,9,5,2,2,17,10,7,0.555555555555556,1,1,0.111111111111111,0.111111111111111,1.88888888888889,1.11111111111111,0.777777777777778,4,1,1,2,4,4,0,0.25,1,1,0.25,0.25,1,1,0,4,3,1,0,12,6,6,0.75,0,0,0,0,3,1.5,1.5,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1
2013,Brazil,5,5,0,0,14,3,11,1,0,0,0,0,2.8,0.6,2.2,1,1,0,0,4,2,2,1,0,0,0,0,4,2,2,4,4,0,0,10,1,9,1,0,0,0,0,2.5,0.25,2.25,,,,,,,,,,,,,,,
2014,Brazil,15,11,2,2,33,15,18,0.733333333333333,2,2,0.133333333333333,0.133333333333333,2.2,1,1.2,4,4,0,0,15,1,14,1,0,0,0,0,3.75,0.25,3.5,4,4,0,0,7,0,7,1,0,0,0,0,1.75,0,1.75,7,3,2,2,11,14,-3,0.428571428571429,2,2,0.285714285714286,0.285714285714286,1.57142857142857,2,-0.428571428571429
2015,Brazil,14,10,2,2,24,10,14,0.714285714285714,2,2,0.142857142857143,0.142857142857143,1.71428571428571,0.714285714285714,1,4,2,1,1,8,5,3,0.5,1,1,0.25,0.25,2,1.25,0.75,5,5,0,0,10,1,9,1,0,0,0,0,2,0.2,1.8,5,3,1,1,6,4,2,0.6,1,1,0.2,0.2,1.2,0.8,0.4
2016,Brazil,12,8,1,3,30,7,23,0.666666666666667,2,2,0.166666666666667,0.166666666666667,2.5,0.583333333333333,1.91666666666667,5,4,0,1,11,2,9,0.8,0,0,0,0,2.2,0.4,1.8,7,4,1,2,19,5,14,0.571428571428571,2,2,0.285714285714286,0.285714285714286,2.71428571428571,0.714285714285714,2,,,,,,,,,,,,,,,
2017,Brazil,10,7,0,3,21,3,18,0.7,2,2,0.2,0.2,2.1,0.3,1.8,6,3,0,3,12,3,9,0.5,2,2,0.333333333333333,0.333333333333333,2,0.5,1.5,4,4,0,0,9,0,9,1,0,0,0,0,2.25,0,2.25,,,,,,,,,,,,,,,
2018,Brazil,14,12,1,1,28,3,25,0.857142857142857,0,0,0,0,2,0.214285714285714,1.78571428571429,5,5,0,0,11,0,11,1,0,0,0,0,2.2,0,2.2,4,4,0,0,9,0,9,1,0,0,0,0,2.25,0,2.25,5,3,1,1,8,3,5,0.6,0,0,0,0,1.6,0.6,1
2019,Brazil,16,8,2,6,33,9,24,0.5,4,4,0.25,0.25,2.0625,0.5625,1.5,1,1,0,0,3,1,2,1,0,0,0,0,3,1,2,6,2,2,2,11,4,7,0.333333333333333,2,2,0.333333333333333,0.333333333333333,1.83333333333333,0.666666666666667,1.16666666666667,9,5,0,4,19,4,15,0.555555555555556,2,2,0.222222222222222,0.222222222222222,2.11111111111111,0.444444444444444,1.66666666666667
2020,Brazil,4,4,0,0,12,2,10,1,0,0,0,0,3,0.5,2.5,2,2,0,0,6,2,4,1,0,0,0,0,3,1,2,2,2,0,0,6,0,6,1,0,0,0,0,3,0,3,,,,,,,,,,,,,,,
2021,Brazil,17,12,1,3,27,5,22,0.705882352941177,4,4,0.235294117647059,0.235294117647059,1.58823529411765,0.294117647058824,1.29411764705882,5,3,0,2,6,1,5,0.6,2,2,0.4,0.4,1.2,0.2,1,6,5,0,0,10,1,9,0.833333333333333,1,1,0.166666666666667,0.166666666666667,1.66666666666667,0.166666666666667,1.5,6,4,1,1,11,3,8,0.666666666666667,1,1,0.166666666666667,0.166666666666667,1.83333333333333,0.5,1.33333333333333
2022,Brazil,9,8,0,1,29,3,26,0.888888888888889,0,0,0,0,3.22222222222222,0.333333333333333,2.88888888888889,4,3,0,1,11,2,9,0.75,0,0,0,0,2.75,0.5,2.25,2,2,0,0,8,0,8,1,0,0,0,0,4,0,4,3,3,0,0,10,1,9,1,0,0,0,0,3.33333333333333,0.333333333333333,3
2012,Cameroon,2,1,1,0,2,2,0,0.5,0,0,0,0,1,1,0,1,0,1,0,1,2,-1,0,0,0,0,0,1,2,-1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,
2013,Cameroon,6,4,0,2,10,2,8,0.666666666666667,2,2,0.333333333333333,0.333333333333333,1.66666666666667,0.333333333333333,1.33333333333333,3,1,0,2,3,0,3,0.333333333333333,2,2,0.666666666666667,0.666666666666667,1,0,1,3,3,0,0,7,2,5,1,0,0,0,0,2.33333333333333,0.666666666666667,1.66666666666667,,,,,,,,,,,,,,,
2014,Cameroon,13,6,4,3,16,17,-1,0.461538461538462,4,4,0.307692307692308,0.307692307692308,1.23076923076923,1.30769230769231,-0.0769230769230769,5,1,1,3,5,7,-2,0.2,2,2,0.4,0.4,1,1.4,-0.4,4,4,0,0,8,1,7,1,0,0,0,0,2,0.25,1.75,4,1,3,0,3,9,-6,0.25,2,2,0.5,0.5,0.75,2.25,-1.5
2015,Cameroon,15,7,2,6,18,13,5,0.466666666666667,3,3,0.2,0.2,1.2,0.866666666666667,0.333333333333333,9,6,1,2,14,9,5,0.666666666666667,1,1,0.111111111111111,0.111111111111111,1.55555555555556,1,0.555555555555556,6,1,1,4,4,4,0,0.166666666666667,2,2,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0,,,,,,,,,,,,,,,
2016,Cameroon,9,3,1,5,12,9,3,0.333333333333333,1,1,0.111111111111111,0.111111111111111,1.33333333333333,1,0.333333333333333,5,1,1,3,5,5,0,0.2,1,1,0.2,0.2,1,1,0,4,2,0,2,7,4,3,0.5,0,0,0,0,1.75,1,0.75,,,,,,,,,,,,,,,
2017,Cameroon,17,6,5,6,17,22,-5,0.352941176470588,5,5,0.294117647058824,0.294117647058824,1,1.29411764705882,-0.294117647058824,6,2,1,3,6,8,-2,0.333333333333333,2,2,0.333333333333333,0.333333333333333,1,1.33333333333333,-0.333333333333333,7,4,1,2,9,4,5,0.571428571428571,1,1,0.142857142857143,0.142857142857143,1.28571428571429,0.571428571428571,0.714285714285714,4,0,3,1,2,10,-8,0,2,2,0.5,0.5,0.5,2.5,-2
2018,Cameroon,7,2,3,2,5,6,-1,0.285714285714286,4,4,0.571428571428571,0.571428571428571,0.714285714285714,0.857142857142857,-0.142857142857143,5,1,2,2,4,5,-1,0.2,3,3,0.6,0.6,0.8,1,-0.2,2,1,1,0,1,1,0,0.5,1,1,0.5,0.5,0.5,0.5,0,,,,,,,,,,,,,,,
2019,Cameroon,10,4,1,5,11,5,6,0.4,4,4,0.4,0.4,1.1,0.5,0.6,2,1,0,1,1,0,1,0.5,1,1,0.5,0.5,0.5,0,0.5,4,2,0,2,6,2,4,0.5,1,1,0.25,0.25,1.5,0.5,1,4,1,1,2,4,3,1,0.25,2,2,0.5,0.5,1,0.75,0.25
2020,Cameroon,3,2,0,1,6,1,5,0.666666666666667,1,1,0.333333333333333,0.333333333333333,2,0.333333333333333,1.66666666666667,1,1,0,0,2,0,2,1,0,0,0,0,2,0,2,1,1,0,0,4,1,3,1,0,0,0,0,4,1,3,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0
2021,Cameroon,10,6,2,2,14,6,8,0.6,2,2,0.2,0.2,1.4,0.6,0.8,5,3,2,0,8,5,3,0.6,0,0,0,0,1.6,1,0.6,5,3,0,2,6,1,5,0.6,2,2,0.4,0.4,1.2,0.2,1,,,,,,,,,,,,,,,
2022,Cameroon,14,6,4,4,18,14,4,0.428571428571429,5,5,0.357142857142857,0.357142857142857,1.28571428571429,1,0.285714285714286,2,1,1,0,2,2,0,0.5,1,1,0.5,0.5,1,1,0,2,0,1,1,1,2,-1,0,1,1,0.5,0.5,0.5,1,-0.5,10,5,2,3,15,10,5,0.5,3,3,0.3,0.3,1.5,1,0.5
2011,Canada,6,4,0,2,18,1,17,0.666666666666667,2,2,0.333333333333333,0.333333333333333,3,0.166666666666667,2.83333333333333,3,2,0,1,10,0,10,0.666666666666667,1,1,0.333333333333333,0.333333333333333,3.33333333333333,0,3.33333333333333,3,2,0,1,8,1,7,0.666666666666667,1,1,0.333333333333333,0.333333333333333,2.66666666666667,0.333333333333333,2.33333333333333,,,,,,,,,,,,,,,
