team,quarter,year,rank,total_points,previous_points,index_fifa
Bolivia,2017.2,2017,95.6666666666667,355.666666666667,357.333333333333,0.217178913087726
Kazakhstan,2017.2,2017,96,354.333333333333,353.333333333333,0.216364746590678
Finland,2017.2,2017,96.3333333333333,353.333333333333,362,0.215754121717891
Togo,2017.2,2017,97.3333333333333,354.666666666667,370,0.21656828821494
Swaziland,2017.2,2017,98.3333333333333,349.333333333333,346.666666666667,0.213311622226745
Namibia,2017.2,2017,99.3333333333333,344.666666666667,346.333333333333,0.210462039487075
Liberia,2017.2,2017,101.666666666667,338,338,0.206391207001832
Malawi,2017.2,2017,103,333.333333333333,331.333333333333,0.203541624262162
Mozambique,2017.2,2017,105.333333333333,328.666666666667,323.666666666667,0.200692041522491
Zimbabwe,2017.2,2017,105.666666666667,327.666666666667,331.333333333333,0.200081416649705
Ethiopia,2017.2,2017,106.333333333333,322.333333333333,309.333333333333,0.19682475066151
CAR,2017.2,2017,106.666666666667,325,325,0.198453083655608
Lithuania,2017.2,2017,107,324.666666666667,324,0.198249542031345
Mauritania,2017.2,2017,108.666666666667,317.666666666667,313,0.19397516792184
New Zealand,2017.2,2017,110.666666666667,309.333333333333,311,0.188886627315286
Jordan,2017.2,2017,111.333333333333,308.333333333333,316.333333333333,0.188276002442499
Latvia,2017.2,2017,111.333333333333,307.333333333333,304.666666666667,0.187665377569713
Equatorial Guinea,2017.2,2017,111.666666666667,312.333333333333,302.666666666667,0.190718501933645
Botswana,2017.2,2017,114.666666666667,297.666666666667,297,0.18176267046611
Cyprus,2017.2,2017,115.333333333333,295,291.333333333333,0.180134337472013
Nicaragua,2017.2,2017,115.333333333333,294.333333333333,284.333333333333,0.179727254223489
Canada,2017.2,2017,118,289,285.333333333333,0.176470588235294
Estonia,2017.2,2017,118.333333333333,290.333333333333,288.333333333333,0.177284754732343
Oman,2017.2,2017,120.333333333333,279.333333333333,278.666666666667,0.170567881131691
Iraq,2017.2,2017,121,276.666666666667,278,0.168939548137594
El Salvador,2017.2,2017,121.333333333333,274.666666666667,244.666666666667,0.167718298392021
Korea DPR,2017.2,2017,122,275.333333333333,267,0.168125381640545
Philippines,2017.2,2017,122.666666666667,272.333333333333,273,0.166293507022186
Georgia,2017.2,2017,124,268.333333333333,275,0.16385100753104
Kyrgyz Republic,2017.2,2017,124.333333333333,265,265,0.161815591288418
Bahrain,2017.2,2017,125.333333333333,259,262.333333333333,0.1581518420517
Suriname,2017.2,2017,125.666666666667,258,224.333333333333,0.157541217178913
Thailand,2017.2,2017,126.666666666667,252.666666666667,252.666666666667,0.154284551190719
Niger,2017.2,2017,129.333333333333,243.666666666667,245,0.14878892733564
Dominican Rep.,2017.2,2017,130,242,242,0.147771219214329
India,2017.2,2017,130.333333333333,240,234.666666666667,0.146549969468756
