team,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Attendance,Captain,Referee,qatar
Senegal,2022-01-30,20:00,Africa Cup of Nations,Quarter-finals,Sun,Neutral,W,3,1,Equ. Guinea,"17,262",Kalidou Koulibaly,Victor Gomes,FALSE
Senegal,2022-02-02,20:00,Africa Cup of Nations,Semi-finals,Wed,Neutral,W,3,1,Burkina Faso,"",Kalidou Koulibaly,Bamlak Tessema,FALSE
Senegal,2022-02-06,20:00,Africa Cup of Nations,Final,Sun,Neutral,D,0 (4),0 (2),Egypt,"",Kalidou Koulibaly,Victor Gomes,FALSE
Senegal,2022-03-25,21:30,WCQ,Third round,Fri,Away,L,0,1,Egypt,"",Kalidou Koulibaly,Jean-Jacques Ndala,FALSE
Senegal,2022-03-29,17:00,WCQ,Third round,Tue,Home,W,1 (3),0 (1),Egypt,"",Kalidou Koulibaly,Mustapha Ghorbal,FALSE
Senegal,2022-06-04,19:00,Africa Cup of Nations qualification,Group stage,Sat,Home,W,3,1,Benin,"",Kalidou Koulibaly,Karim Sabry,FALSE
Senegal,2022-06-07,21:00,Africa Cup of Nations qualification,Group stage,Tue,Away,W,1,0,Rwanda,"",Kalidou Koulibaly,Jean-Jacques Ndala,FALSE
Senegal,2022-09-24,19:15,Friendlies (M),Friendlies (M),Sat,Neutral,W,2,0,Bolivia,"",Kalidou Koulibaly,Bastien Dechepy,FALSE
Senegal,2022-09-27,16:30,Friendlies (M),Friendlies (M),Tue,Neutral,D,1,1,IR Iran,"",Kalidou Koulibaly,Harald Lechner,FALSE
Serbia,2021-03-24,20:45,WCQ,First round,Wed,Home,W,3,2,Rep. of Ireland,"",Dušan Tadić,Davide Massa,FALSE
Serbia,2021-03-27,20:45,WCQ,First round,Sat,Home,D,2,2,Portugal,"",Dušan Tadić,Danny Makkelie,FALSE
Serbia,2021-03-30,20:00,WCQ,First round,Tue,Away,W,2,1,Azerbaijan,"",Dušan Tadić,Roi Reinshreiber,FALSE
Serbia,2021-09-04,18:00,WCQ,First round,Sat,Home,W,4,1,Luxembourg,"10,078",Dušan Tadić,Halil Umut Meler,FALSE
Serbia,2021-09-07,19:45,WCQ,First round,Tue,Away,D,1,1,Rep. of Ireland,"25,415",Dušan Tadić,José Sánchez,FALSE
Serbia,2021-10-09,20:45,WCQ,First round,Sat,Away,W,1,0,Luxembourg,"2,000",Dušan Tadić,William Collum,FALSE
Serbia,2021-10-12,20:45,WCQ,First round,Tue,Home,W,3,1,Azerbaijan,"5,890",Matija Nastasić,Erik Lambrechts,FALSE
Serbia,2021-11-14,19:45,WCQ,First round,Sun,Away,W,2,1,Portugal,"58,873",Dušan Tadić,Daniele Orsato,FALSE
Serbia,2022-03-24,19:30,Friendlies (M),Friendlies (M),Thu,Away,W,1,0,Hungary,"",Dušan Tadić,Filip Glova,FALSE
Serbia,2022-03-29,18:00,Friendlies (M),Friendlies (M),Tue,Away,L,0,3,Denmark,"",Dušan Tadić,Felix Zwayer,FALSE
Serbia,2022-06-02,20:45,UEFA Nations League,League B,Thu,Home,L,0,1,Norway,"9,726",Dušan Tadić,Paweł Raczkowski,FALSE
Serbia,2022-06-05,20:45,UEFA Nations League,League B,Sun,Home,W,4,1,Slovenia,"10,925",Aleksandar Mitrović,Jesús Gil,FALSE
Serbia,2022-06-09,20:45,UEFA Nations League,League B,Thu,Away,W,1,0,Sweden,"24,123",Dušan Tadić,Lawrence Visser,FALSE
Serbia,2022-06-12,20:45,UEFA Nations League,League B,Sun,Away,D,2,2,Slovenia,"13,782",Dušan Tadić,Maurizio Mariani,FALSE
Serbia,2022-09-24,20:45,UEFA Nations League,League B,Sat,Home,W,4,1,Sweden,"14,122",Dušan Tadić,Georgi Kabakov,FALSE
Serbia,2022-09-27,20:45,UEFA Nations League,League B,Tue,Away,W,2,0,Norway,"24,364",Dušan Tadić,Antonio Matéu Lahoz,FALSE
Serbia,2022-11-18,18:30,Friendlies (M),Friendlies (M),Fri,Away,"",,,Bahrain,"","","",FALSE
Spain,2021-03-25,20:45,WCQ,First round,Thu,Home,D,1,1,Greece,"",Sergio Ramos,Marco Guida,FALSE
Spain,2021-03-28,20:00,WCQ,First round,Sun,Away,W,2,1,Georgia,"",Sergio Busquets,Radu Petrescu,FALSE
Spain,2021-03-31,20:45,WCQ,First round,Wed,Home,W,3,1,Kosovo,"",Sergio Busquets,Jakob Kehlet,FALSE
Spain,2021-09-02,20:45,WCQ,First round,Thu,Away,L,1,2,Sweden,"16,901",Sergio Busquets,Anthony Taylor,FALSE
Spain,2021-09-05,20:45,WCQ,First round,Sun,Home,W,4,0,Georgia,"8,444",César Azpilicueta,Tiago Martins,FALSE
Spain,2021-09-08,20:45,WCQ,First round,Wed,Away,W,2,0,Kosovo,"1,200",Sergio Busquets,Bobby Madden,FALSE
Spain,2021-11-11,21:45,WCQ,First round,Thu,Away,W,1,0,Greece,"7,825",Koke,Szymon Marciniak,FALSE
Spain,2021-11-14,20:45,WCQ,First round,Sun,Home,W,1,0,Sweden,"51,844",Sergio Busquets,Felix Brych,FALSE
Spain,2022-03-26,19:45,Friendlies (M),Friendlies (M),Sat,Home,W,2,1,Albania,"",Álvaro Morata,Trustin Farrugia Cann,FALSE
Spain,2022-03-29,20:45,Friendlies (M),Friendlies (M),Tue,Home,W,5,0,Iceland,"34,600",Jordi Alba,Horațiu Fesnic,FALSE
Spain,2022-06-02,20:45,UEFA Nations League,League A,Thu,Home,D,1,1,Portugal,"41,236",Sergio Busquets,Michael Oliver,FALSE
Spain,2022-06-05,20:45,UEFA Nations League,League A,Sun,Away,D,2,2,Czech Republic,"18,245",Koke,François Letexier,FALSE
Spain,2022-06-09,20:45,UEFA Nations League,League A,Thu,Away,W,1,0,Switzerland,"25,875",Sergio Busquets,Serdar Gözübüyük,FALSE
Spain,2022-06-12,20:45,UEFA Nations League,League A,Sun,Home,W,2,0,Czech Republic,"30,389",Koke,Cüneyt Çakιr,FALSE
Spain,2022-09-24,20:45,UEFA Nations League,League A,Sat,Home,L,1,2,Switzerland,"31,089",Sergio Busquets,Clément Turpin,FALSE
Spain,2022-09-27,19:45,UEFA Nations League,League A,Tue,Away,W,1,0,Portugal,"28,196",Koke,Daniele Orsato,FALSE
Spain,2022-11-17,18:00,Friendlies (M),Friendlies (M),Thu,Away,"",,,Jordan,"","","",FALSE
Switzerland,2021-03-25,19:00,WCQ,First round,Thu,Away,W,3,1,Bulgaria,"",Granit Xhaka,Nikola Dabanović,FALSE
Switzerland,2021-03-28,20:45,WCQ,First round,Sun,Home,W,1,0,Lithuania,"",Granit Xhaka,Mattias Gestranius,FALSE
Switzerland,2021-09-05,20:45,WCQ,First round,Sun,Home,D,0,0,Italy,"31,500",Yann Sommer,Carlos del Cerro,FALSE
Switzerland,2021-09-08,19:45,WCQ,First round,Wed,Away,D,0,0,Northern Ireland,"15,660",Yann Sommer,Harald Lechner,FALSE
Switzerland,2021-10-09,20:45,WCQ,First round,Sat,Home,W,2,0,Northern Ireland,"19,129",Xherdan Shaqiri,Slavko Vinčič,FALSE
Switzerland,2021-10-12,21:45,WCQ,First round,Tue,Away,W,4,0,Lithuania,"1,806",Xherdan Shaqiri,Tiago Martins,FALSE
Switzerland,2021-11-12,20:45,WCQ,First round,Fri,Away,D,1,1,Italy,"45,699",Xherdan Shaqiri,Anthony Taylor,FALSE
Switzerland,2021-11-15,20:45,WCQ,First round,Mon,Home,W,4,0,Bulgaria,"",Xherdan Shaqiri,Benoît Bastien,FALSE
Switzerland,2022-03-26,17:30,Friendlies (M),Friendlies (M),Sat,Away,L,1,2,England,"",Granit Xhaka,Andreas Ekberg,FALSE
Switzerland,2022-03-29,18:00,Friendlies (M),Friendlies (M),Tue,Home,D,1,1,Kosovo,"",Granit Xhaka,Ruddy Buquet,FALSE
Switzerland,2022-06-02,20:45,UEFA Nations League,League A,Thu,Away,L,1,2,Czech Republic,"12,236",Granit Xhaka,Daniel Siebert,FALSE
Switzerland,2022-06-05,19:45,UEFA Nations League,League A,Sun,Away,L,0,4,Portugal,"42,325",Granit Xhaka,Orel Grinfeeld,FALSE
Switzerland,2022-06-09,20:45,UEFA Nations League,League A,Thu,Home,L,0,1,Spain,"25,875",Granit Xhaka,Serdar Gözübüyük,FALSE
Switzerland,2022-06-12,20:45,UEFA Nations League,League A,Sun,Home,W,1,0,Portugal,"26,300",Granit Xhaka,Fran Jović,FALSE
Switzerland,2022-09-24,20:45,UEFA Nations League,League A,Sat,Away,W,2,1,Spain,"31,089",Granit Xhaka,Clément Turpin,FALSE
Switzerland,2022-09-27,20:45,UEFA Nations League,League A,Tue,Home,W,2,1,Czech Republic,"13,353",Granit Xhaka,Irfan Peljto,FALSE
Switzerland,2022-11-17,14:00,Friendlies (M),Friendlies (M),Thu,Away,"",,,Ghana,"","","",FALSE
Tunisia,2021-09-03,20:00,WCQ,Second round,Fri,Home,W,3,0,Equ. Guinea,,Wahbi Khazri,Daniel Nii Ayi Laryea,FALSE
Tunisia,2021-09-07,15:00,WCQ,Second round,Tue,Away,W,2,0,Zambia,,Wahbi Khazri,Eric Otogo-Castane,FALSE
Tunisia,2021-10-07,20:00,WCQ,Second round,Thu,Home,W,3,0,Mauritania,,Wahbi Khazri,Bamlak Tessema,FALSE
Tunisia,2021-10-10,19:00,WCQ,Second round,Sun,Away,D,0,0,Mauritania,,Farouk Ben Mustapha,Mehdi Abid Charef,FALSE
Tunisia,2021-11-13,17:00,WCQ,Second round,Sat,Away,L,0,1,Equ. Guinea,,Wahbi Khazri,Boubou Traoré,FALSE
Tunisia,2021-11-16,20:00,WCQ,Second round,Tue,Home,W,3,1,Zambia,,Wahbi Khazri,Pacifique Ndabihawenimana,FALSE
Tunisia,2022-01-12,14:00,Africa Cup of Nations,Group stage,Wed,Neutral,L,0,1,Mali,,Wahbi Khazri,Janny Sikazwe,FALSE
Tunisia,2022-01-16,17:00,Africa Cup of Nations,Group stage,Sun,Neutral,W,4,0,Mauritania,,Wahbi Khazri,Mahmoud El Banna,FALSE
Tunisia,2022-01-20,20:00,Africa Cup of Nations,Group stage,Thu,Neutral,L,0,1,Gambia,,Ellyes Skhiri,Fernando Guerrero,FALSE
Tunisia,2022-01-23,20:00,Africa Cup of Nations,Round of 16,Sun,Neutral,W,1,0,Nigeria,,Youssef Msakni,Maguette Ndiaye,FALSE
Tunisia,2022-01-29,20:00,Africa Cup of Nations,Quarter-finals,Sat,Neutral,L,0,1,Burkina Faso,,Youssef Msakni,Joshua Bondo,FALSE
Tunisia,2022-03-25,17:00,WCQ,Third round,Fri,Away,W,1,0,Mali,,Youssef Msakni,Bamlak Tessema,FALSE
Tunisia,2022-03-29,20:30,WCQ,Third round,Tue,Home,D,0,0,Mali,,Youssef Msakni,Maguette Ndiaye,FALSE
Tunisia,2022-06-02,20:00,Africa Cup of Nations qualification,Group stage,Thu,Home,W,4,0,Equ. Guinea,,Ferjani Sassi,Pacifique Ndabihawenimana,FALSE
Tunisia,2022-06-05,15:00,Africa Cup of Nations qualification,Group stage,Sun,Away,D,0,0,Botswana,,Ali Maâloul,Athoumani Mohamed,FALSE
Tunisia,2022-09-22,16:30,Friendlies (M),Friendlies (M),Thu,Neutral,W,1,0,Comoros,,Wahbi Khazri,Gabriel Henry,FALSE
Tunisia,2022-09-27,15:30,Friendlies (M),Friendlies (M),Tue,Neutral,L,1,5,Brazil,,Youssef Msakni,Ruddy Buquet,FALSE
Tunisia,2022-11-16,16:00,Friendlies (M),Friendlies (M),Wed,Away,W,2,0,IR Iran,,"","",FALSE
United States,2021-09-02,20:05,WCQ,Third round,Thu,Away,D,0,0,El Salvador,"29,000",Tyler Adams,Juan Gabriel Calderón,FALSE
United States,2021-09-05,19:12,WCQ,Third round,Sun,Home,D,1,1,Canada,"43,028",Christian Pulisic,Oshane Nation,FALSE
United States,2021-09-08,20:30,WCQ,Third round,Wed,Away,W,4,1,Honduras,"31,000",Christian Pulisic,Fernando Hernández,FALSE
United States,2021-10-07,18:45,WCQ,Third round,Thu,Home,W,2,0,Jamaica,"20,500",Tyler Adams,Reon Radix,FALSE
United States,2021-10-10,17:05,WCQ,Third round,Sun,Away,L,0,1,Panama,"16,228",Walker Zimmerman,César Arturo Ramos,FALSE
United States,2021-10-13,19:00,WCQ,Third round,Wed,Home,W,2,1,Costa Rica,"20,165",Tyler Adams,Daneon Parchment,FALSE
United States,2021-11-12,21:10,WCQ,Third round,Fri,Home,W,2,0,Mexico,"26,000",Tyler Adams,Iván Barton,FALSE
United States,2021-11-16,17:00,WCQ,Third round,Tue,Away,D,1,1,Jamaica,"4,100",Tyler Adams,Juan Gabriel Calderón,FALSE
United States,2022-01-27,19:00,WCQ,Third round,Thu,Home,W,1,0,El Salvador,"20,000",Christian Pulisic,Bryan López,FALSE
United States,2022-01-30,15:05,WCQ,Third round,Sun,Away,L,0,2,Canada,"12,000",Tyler Adams,César Arturo Ramos,FALSE
United States,2022-02-02,18:30,WCQ,Third round,Wed,Home,W,3,0,Honduras,"19,202",Walker Zimmerman,Oshane Nation,FALSE
United States,2022-03-24,20:00,WCQ,Third round,Thu,Away,D,0,0,Mexico,"47,000",Tyler Adams,Mario Escobar,FALSE
United States,2022-03-27,19:00,WCQ,Third round,Sun,Home,W,5,1,Panama,"25,022",Christian Pulisic,Iván Barton,FALSE
United States,2022-03-30,19:05,WCQ,Third round,Wed,Away,L,0,2,Costa Rica,"35,000",Walker Zimmerman,Drew Fischer,FALSE
United States,2022-06-01,19:30,Friendlies (M),Friendlies (M),Wed,Home,W,3,0,Morocco,"19,512",Christian Pulisic,Ismael Cornejo,FALSE
United States,2022-09-23,14:25,Friendlies (M),Friendlies (M),Fri,Neutral,L,0,2,Japan,"5,149",Walker Zimmerman,Felix Zwayer,FALSE
United States,2022-09-27,20:00,Friendlies (M),Friendlies (M),Tue,Away,D,0,0,Saudi Arabia,364,Christian Pulisic,Ivan Bebek,FALSE
Uruguay,2020-10-08,19:45,WCQ,WCQ — CONMEBOL (M),Thu,Home,W,2,1,Chile,"",Diego Godín,Eber Aguino,FALSE
Uruguay,2020-10-13,16:00,WCQ,WCQ — CONMEBOL (M),Tue,Away,L,2,4,Ecuador,"",Diego Godín,Wilmar Roldán,FALSE
Uruguay,2020-11-13,15:30,WCQ,WCQ — CONMEBOL (M),Fri,Away,W,3,0,Colombia,"",Diego Godín,Fernando Rapallini,FALSE
Uruguay,2020-11-17,20:00,WCQ,WCQ — CONMEBOL (M),Tue,Home,L,0,2,Brazil,"",Diego Godín,Roberto Tobar,FALSE
Uruguay,2021-06-03,19:00,WCQ,WCQ — CONMEBOL (M),Thu,Home,D,0,0,Paraguay,"",Diego Godín,Wilmar Roldán,FALSE
Uruguay,2021-06-08,18:30,WCQ,WCQ — CONMEBOL (M),Tue,Away,D,0,0,Venezuela,"",Diego Godín,Anderson Daronco,FALSE
Uruguay,2021-09-02,20:00,WCQ,WCQ — CONMEBOL (M),Thu,Away,D,1,1,Peru,"",Diego Godín,Néstor Pitana,FALSE
Uruguay,2021-09-05,19:00,WCQ,WCQ — CONMEBOL (M),Sun,Home,W,4,2,Bolivia,"",Diego Godín,Eber Aguino,FALSE
Uruguay,2021-09-09,19:30,WCQ,WCQ — CONMEBOL (M),Thu,Home,W,1,0,Ecuador,"",Fernando Muslera,Anderson Daronco,FALSE
Uruguay,2021-10-07,20:00,WCQ,WCQ — CONMEBOL (M),Thu,Home,D,0,0,Colombia,"",Diego Godín,Jesús Valenzuela,FALSE
Uruguay,2021-10-10,20:30,WCQ,WCQ — CONMEBOL (M),Sun,Away,L,0,3,Argentina,"",Diego Godín,Roberto Tobar,FALSE
Uruguay,2021-10-14,20:30,WCQ,WCQ — CONMEBOL (M),Thu,Away,L,1,4,Brazil,"",Diego Godín,Fernando Rapallini,FALSE
Uruguay,2021-11-12,20:00,WCQ,WCQ — CONMEBOL (M),Fri,Home,L,0,1,Argentina,"",Diego Godín,Alexis Herrera,FALSE
Uruguay,2021-11-16,16:00,WCQ,WCQ — CONMEBOL (M),Tue,Away,L,0,3,Bolivia,"",Diego Godín,Wilton Sampaio,FALSE
Uruguay,2022-01-27,20:00,WCQ,WCQ — CONMEBOL (M),Thu,Away,W,1,0,Paraguay,"",Diego Godín,Darío Herrera,FALSE
Uruguay,2022-02-01,20:00,WCQ,WCQ — CONMEBOL (M),Tue,Home,W,4,1,Venezuela,"",Diego Godín,Bruno Arleu de Araujo,FALSE
Uruguay,2022-03-24,20:30,WCQ,WCQ — CONMEBOL (M),Thu,Home,W,1,0,Peru,"",Diego Godín,Anderson Daronco,FALSE
Uruguay,2022-03-29,20:30,WCQ,WCQ — CONMEBOL (M),Tue,Away,W,2,0,Chile,"",Diego Godín,Patricio Loustau,FALSE
Uruguay,2022-06-02,19:00,Friendlies (M),Friendlies (M),Thu,Neutral,W,3,0,Mexico,"57,735",Edinson Cavani,Juan Gabriel Calderón,FALSE
Uruguay,2022-09-23,19:30,Friendlies (M),Friendlies (M),Fri,Neutral,L,0,1,IR Iran,"",Luis Suárez,Walter Altmann,FALSE
Uruguay,2022-09-27,18:00,Friendlies (M),Friendlies (M),Tue,Away,W,2,0,Canada,"",Luis Suárez,Peter Kráľovič,FALSE
Wales,2021-03-24,20:45,WCQ,First round,Wed,Away,L,1,3,Belgium,"",Gareth Bale,Cüneyt Çakιr,FALSE
Wales,2021-03-30,19:45,WCQ,First round,Tue,Home,W,1,0,Czech Republic,"",Gareth Bale,Ovidiu Hațegan,FALSE
Wales,2021-09-05,16:00,WCQ,First round,Sun,Away,W,3,2,Belarus,"",Gareth Bale,Giorgi Kruashvili,FALSE
Wales,2021-09-08,19:45,WCQ,First round,Wed,Home,D,0,0,Estonia,"21,624",Gareth Bale,Ruddy Buquet,FALSE
Wales,2021-10-08,20:45,WCQ,First round,Fri,Away,D,2,2,Czech Republic,"16,856",Aaron Ramsey,Deniz Aytekin,FALSE
Wales,2021-10-11,21:45,WCQ,First round,Mon,Away,W,1,0,Estonia,"5,118",Aaron Ramsey,Sandro Schärer,FALSE
Wales,2021-11-13,19:45,WCQ,First round,Sat,Home,W,5,1,Belarus,"27,152",Gareth Bale,Maurizio Mariani,FALSE
Wales,2021-11-16,19:45,WCQ,First round,Tue,Home,D,1,1,Belgium,"32,343",Aaron Ramsey,Artur Dias,FALSE
Wales,2022-03-24,19:45,WCQ,Semi-finals,Thu,Home,W,2,1,Austria,"32,053",Gareth Bale,Szymon Marciniak,FALSE
Wales,2022-03-29,19:45,Friendlies (M),Friendlies (M),Tue,Home,D,1,1,Czech Republic,"",Wayne Hennessey,Paul Tierney,FALSE
Wales,2022-06-01,18:00,UEFA Nations League,League A,Wed,Away,L,1,2,Poland,"35,214",Chris Gunter,Rade Obrenović,FALSE
Wales,2022-06-05,17:00,WCQ,Finals,Sun,Home,W,1,0,Ukraine,"32,660",Gareth Bale,Antonio Matéu Lahoz,FALSE
Wales,2022-06-08,19:45,UEFA Nations League,League A,Wed,Home,L,1,2,Netherlands,"23,395",Ben Davies,Glenn Nyberg,FALSE
Wales,2022-06-11,19:45,UEFA Nations League,League A,Sat,Home,D,1,1,Belgium,"27,188",Gareth Bale,Benoît Bastien,FALSE
Wales,2022-06-14,20:45,UEFA Nations League,League A,Tue,Away,L,2,3,Netherlands,"32,247",Ben Davies,Horațiu Fesnic,FALSE
Wales,2022-09-22,20:45,UEFA Nations League,League A,Thu,Away,L,1,2,Belgium,"28,463",Wayne Hennessey,Ali Palabıyık,FALSE
Wales,2022-09-25,19:45,UEFA Nations League,League A,Sun,Home,L,0,1,Poland,"31,520",Gareth Bale,Andris Treimanis,FALSE
