team,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Attendance,Captain,Referee,qatar
Netherlands,2022-11-21,19:00,World Cup,Group stage,Mon,Neutral,"",,,sn Senegal,"","","",TRUE
Netherlands,2022-11-25,19:00,World Cup,Group stage,Fri,Neutral,"",,,ec Ecuador,"","","",TRUE
Netherlands,2022-11-29,18:00,World Cup,Group stage,Tue,Neutral,"",,,qa Qatar,"","","",TRUE
Poland,2022-11-22,19:00,World Cup,Group stage,Tue,Neutral,"",,,mx Mexico,"","","",TRUE
Poland,2022-11-26,16:00,World Cup,Group stage,Sat,Neutral,"",,,sa Saudi Arabia,"","","",TRUE
Poland,2022-11-30,22:00,World Cup,Group stage,Wed,Neutral,"",,,ar Argentina,"","","",TRUE
Portugal,2022-11-24,19:00,World Cup,Group stage,Thu,Neutral,"",,,gh Ghana,"","","",TRUE
Portugal,2022-11-28,22:00,World Cup,Group stage,Mon,Neutral,"",,,uy Uruguay,"","","",TRUE
Portugal,2022-12-02,18:00,World Cup,Group stage,Fri,Neutral,"",,,kr Korea Republic,"","","",TRUE
Qatar,2022-11-20,19:00,World Cup,Group stage,Sun,Neutral,"",,,ec Ecuador,"","","",TRUE
Qatar,2022-11-25,16:00,World Cup,Group stage,Fri,Neutral,"",,,sn Senegal,"","","",TRUE
Qatar,2022-11-29,18:00,World Cup,Group stage,Tue,Neutral,"",,,nl Netherlands,"","","",TRUE
Saudi Arabia,2022-11-22,13:00,World Cup,Group stage,Tue,Neutral,"",,,ar Argentina,"","","",TRUE
Saudi Arabia,2022-11-26,16:00,World Cup,Group stage,Sat,Neutral,"",,,pl Poland,"","","",TRUE
Saudi Arabia,2022-11-30,22:00,World Cup,Group stage,Wed,Neutral,"",,,mx Mexico,"","","",TRUE
Senegal,2022-11-21,19:00,World Cup,Group stage,Mon,Neutral,"","","",nl Netherlands,"","","",TRUE
Senegal,2022-11-25,16:00,World Cup,Group stage,Fri,Neutral,"","","",qa Qatar,"","","",TRUE
Senegal,2022-11-29,18:00,World Cup,Group stage,Tue,Neutral,"","","",ec Ecuador,"","","",TRUE
Serbia,2022-11-24,22:00,World Cup,Group stage,Thu,Neutral,"",,,br Brazil,"","","",TRUE
Serbia,2022-11-28,13:00,World Cup,Group stage,Mon,Neutral,"",,,cm Cameroon,"","","",TRUE
Serbia,2022-12-02,22:00,World Cup,Group stage,Fri,Neutral,"",,,ch Switzerland,"","","",TRUE
Spain,2022-11-23,19:00,World Cup,Group stage,Wed,Neutral,"",,,cr Costa Rica,"","","",TRUE
Spain,2022-11-27,22:00,World Cup,Group stage,Sun,Neutral,"",,,de Germany,"","","",TRUE
Spain,2022-12-01,22:00,World Cup,Group stage,Thu,Neutral,"",,,jp Japan,"","","",TRUE
Switzerland,2022-11-24,13:00,World Cup,Group stage,Thu,Neutral,"",,,cm Cameroon,"","","",TRUE
Switzerland,2022-11-28,19:00,World Cup,Group stage,Mon,Neutral,"",,,br Brazil,"","","",TRUE
Switzerland,2022-12-02,22:00,World Cup,Group stage,Fri,Neutral,"",,,rs Serbia,"","","",TRUE
Tunisia,2022-11-22,16:00,World Cup,Group stage,Tue,Neutral,"",,,dk Denmark,,"","",TRUE
Tunisia,2022-11-26,13:00,World Cup,Group stage,Sat,Neutral,"",,,au Australia,,"","",TRUE
Tunisia,2022-11-30,18:00,World Cup,Group stage,Wed,Neutral,"",,,fr France,,"","",TRUE
United States,2022-11-21,22:00,World Cup,Group stage,Mon,Neutral,"",,,wls Wales,"","","",TRUE
United States,2022-11-25,22:00,World Cup,Group stage,Fri,Neutral,"",,,eng England,"","","",TRUE
United States,2022-11-29,22:00,World Cup,Group stage,Tue,Neutral,"",,,ir IR Iran,"","","",TRUE
Uruguay,2022-11-24,16:00,World Cup,Group stage,Thu,Neutral,"",,,kr Korea Republic,"","","",TRUE
Uruguay,2022-11-28,22:00,World Cup,Group stage,Mon,Neutral,"",,,pt Portugal,"","","",TRUE
Uruguay,2022-12-02,18:00,World Cup,Group stage,Fri,Neutral,"",,,gh Ghana,"","","",TRUE
Wales,2022-11-21,22:00,World Cup,Group stage,Mon,Neutral,"",,,us United States,"","","",TRUE
Wales,2022-11-25,13:00,World Cup,Group stage,Fri,Neutral,"",,,ir IR Iran,"","","",TRUE
Wales,2022-11-29,22:00,World Cup,Group stage,Tue,Neutral,"",,,eng England,"","","",TRUE
