date,team,rating,as_of
2022-06-14,Afghanistan,1095,2022-11-23
2022-06-11,Afghanistan,1108,2022-11-23
2022-06-08,Afghanistan,1118,2022-11-23
2022-06-01,Afghanistan,1138,2022-11-23
2021-11-16,Afghanistan,1142,2022-11-23
2021-06-15,Afghanistan,1132,2022-11-23
2021-06-11,Afghanistan,1128,2022-11-23
2021-06-03,Afghanistan,1132,2022-11-23
2021-05-29,Afghanistan,1146,2022-11-23
2021-05-25,Afghanistan,1146,2022-11-23
2018-12-28,Afghanistan,1149,2022-11-23
2018-12-25,Afghanistan,1146,2022-11-23
2018-08-19,Afghanistan,1158,2022-11-23
2018-03-27,Afghanistan,1155,2022-11-23
2017-11-14,Afghanistan,1150,2022-11-23
2017-10-10,Afghanistan,1138,2022-11-23
2017-09-05,Afghanistan,1122,2022-11-23
2017-08-30,Afghanistan,1126,2022-11-23
2017-06-13,Afghanistan,1128,2022-11-23
2017-06-06,Afghanistan,1161,2022-11-23
2017-03-28,Afghanistan,1156,2022-11-23
2017-03-23,Afghanistan,1149,2022-11-23
2022-11-19,Albania,1543,2022-11-23
2022-11-16,Albania,1535,2022-11-23
2022-11-09,Albania,1538,2022-11-23
2022-10-26,Albania,1544,2022-11-23
2022-09-27,Albania,1541,2022-11-23
2022-09-24,Albania,1546,2022-11-23
2022-06-13,Albania,1556,2022-11-23
2022-06-10,Albania,1562,2022-11-23
2022-06-06,Albania,1586,2022-11-23
2022-03-29,Albania,1582,2022-11-23
2022-03-26,Albania,1585,2022-11-23
2021-11-15,Albania,1586,2022-11-23
2021-11-12,Albania,1585,2022-11-23
2021-10-12,Albania,1588,2022-11-23
2021-10-09,Albania,1604,2022-11-23
2021-09-08,Albania,1572,2022-11-23
2021-09-05,Albania,1571,2022-11-23
2021-09-02,Albania,1546,2022-11-23
2021-06-08,Albania,1556,2022-11-23
2021-06-05,Albania,1560,2022-11-23
2021-03-31,Albania,1552,2022-11-23
2021-03-28,Albania,1550,2022-11-23
2021-03-25,Albania,1559,2022-11-23
2020-11-18,Albania,1556,2022-11-23
2020-11-15,Albania,1543,2022-11-23
2020-11-11,Albania,1532,2022-11-23
2020-10-14,Albania,1525,2022-11-23
2020-10-11,Albania,1530,2022-11-23
2020-09-07,Albania,1533,2022-11-23
2020-09-04,Albania,1569,2022-11-23
2018-11-20,Albania,1515,2022-11-23
2018-11-17,Albania,1500,2022-11-23
2018-10-14,Albania,1532,2022-11-23
2018-10-10,Albania,1555,2022-11-23
2018-09-10,Albania,1560,2022-11-23
2018-09-07,Albania,1573,2022-11-23
2018-06-03,Albania,1560,2022-11-23
2018-05-29,Albania,1570,2022-11-23
2018-03-26,Albania,1596,2022-11-23
2017-11-13,Albania,1609,2022-11-23
2017-10-09,Albania,1593,2022-11-23
2017-10-06,Albania,1601,2022-11-23
2017-09-05,Albania,1604,2022-11-23
2017-09-02,Albania,1605,2022-11-23
2017-06-11,Albania,1602,2022-11-23
2017-06-04,Albania,1552,2022-11-23
2017-03-28,Albania,1568,2022-11-23
2017-03-24,Albania,1576,2022-11-23
2022-11-19,Algeria,1707,2022-11-23
2022-11-16,Algeria,1717,2022-11-23
2022-09-27,Algeria,1722,2022-11-23
2022-09-23,Algeria,1717,2022-11-23
2022-06-12,Algeria,1715,2022-11-23
2022-06-08,Algeria,1702,2022-11-23
2022-06-04,Algeria,1692,2022-11-23
2022-03-29,Algeria,1685,2022-11-23
2022-03-25,Algeria,1716,2022-11-23
2022-01-20,Algeria,1695,2022-11-23
2022-01-16,Algeria,1743,2022-11-23
2022-01-11,Algeria,1788,2022-11-23
2022-01-05,Algeria,1810,2022-11-23
2021-12-18,Algeria,1801,2022-11-23
2021-12-15,Algeria,1781,2022-11-23
2021-12-11,Algeria,1759,2022-11-23
2021-12-07,Algeria,1759,2022-11-23
2021-12-04,Algeria,1765,2022-11-23
2021-12-01,Algeria,1759,2022-11-23
2021-11-16,Algeria,1752,2022-11-23
2021-11-12,Algeria,1766,2022-11-23
2021-10-12,Algeria,1766,2022-11-23
2021-10-08,Algeria,1760,2022-11-23
2021-09-07,Algeria,1758,2022-11-23
2021-09-02,Algeria,1769,2022-11-23
2021-08-29,Algeria,1769,2022-11-23
2021-08-26,Algeria,1767,2022-11-23
2021-06-17,Algeria,1764,2022-11-23
2021-06-11,Algeria,1762,2022-11-23
2021-06-06,Algeria,1747,2022-11-23
2021-06-03,Algeria,1744,2022-11-23
2021-03-29,Algeria,1742,2022-11-23
2021-03-25,Algeria,1739,2022-11-23
2020-11-16,Algeria,1750,2022-11-23
2020-11-12,Algeria,1762,2022-11-23
2020-10-13,Algeria,1758,2022-11-23
2020-10-09,Algeria,1754,2022-11-23
2018-12-27,Algeria,1544,2022-11-23
2018-11-18,Algeria,1531,2022-11-23
2018-10-16,Algeria,1496,2022-11-23
2018-10-12,Algeria,1517,2022-11-23
2018-09-08,Algeria,1501,2022-11-23
2018-06-07,Algeria,1508,2022-11-23
2018-06-01,Algeria,1509,2022-11-23
2018-05-09,Algeria,1524,2022-11-23
2018-03-27,Algeria,1538,2022-11-23
2018-03-22,Algeria,1542,2022-11-23
2017-11-14,Algeria,1538,2022-11-23
2017-11-10,Algeria,1534,2022-11-23
2017-10-07,Algeria,1532,2022-11-23
2017-09-05,Algeria,1547,2022-11-23
2017-09-02,Algeria,1578,2022-11-23
2017-06-11,Algeria,1614,2022-11-23
2017-06-06,Algeria,1609,2022-11-23
2017-01-23,Algeria,1604,2022-11-23
2017-01-19,Algeria,1595,2022-11-23
2017-01-15,Algeria,1624,2022-11-23
2017-01-10,Algeria,1638,2022-11-23
2017-01-07,Algeria,1635,2022-11-23
2022-11-19,Andorra,1108,2022-11-23
2022-11-16,Andorra,1117,2022-11-23
2022-09-25,Andorra,1118,2022-11-23
2022-09-22,Andorra,1110,2022-11-23
2022-06-14,Andorra,1076,2022-11-23
2022-06-10,Andorra,1085,2022-11-23
2022-06-06,Andorra,1072,2022-11-23
2022-06-03,Andorra,1068,2022-11-23
2022-03-28,Andorra,1076,2022-11-23
2022-03-25,Andorra,1067,2022-11-23
2021-11-15,Andorra,1056,2022-11-23
2021-11-12,Andorra,1057,2022-11-23
2021-10-12,Andorra,1059,2022-11-23
2021-10-09,Andorra,1036,2022-11-23
2021-09-08,Andorra,1036,2022-11-23
2021-09-05,Andorra,1036,2022-11-23
2021-09-02,Andorra,1036,2022-11-23
2021-06-07,Andorra,1027,2022-11-23
2021-06-03,Andorra,1028,2022-11-23
2021-03-31,Andorra,1030,2022-11-23
2021-03-28,Andorra,1032,2022-11-23
2021-03-25,Andorra,1032,2022-11-23
2020-11-17,Andorra,1035,2022-11-23
2020-11-14,Andorra,1068,2022-11-23
2020-11-11,Andorra,1081,2022-11-23
2020-10-13,Andorra,1081,2022-11-23
2020-10-10,Andorra,1092,2022-11-23
2020-10-07,Andorra,1094,2022-11-23
2020-09-06,Andorra,1099,2022-11-23
2020-09-03,Andorra,1118,2022-11-23
2018-11-19,Andorra,1081,2022-11-23
2018-11-15,Andorra,1074,2022-11-23
2018-10-16,Andorra,1058,2022-11-23
2018-10-13,Andorra,1066,2022-11-23
2018-09-10,Andorra,1069,2022-11-23
2018-09-06,Andorra,1059,2022-11-23
2018-08-18,Andorra,1043,2022-11-23
2018-06-03,Andorra,1034,2022-11-23
2018-03-21,Andorra,1026,2022-11-23
2017-10-10,Andorra,1012,2022-11-23
2017-10-07,Andorra,1017,2022-11-23
2017-09-03,Andorra,1017,2022-11-23
2017-08-31,Andorra,1021,2022-11-23
2017-08-16,Andorra,1021,2022-11-23
2017-06-09,Andorra,1022,2022-11-23
2017-03-25,Andorra,983,2022-11-23
2017-02-22,Andorra,972,2022-11-23
2022-11-20,Angola,1407,2022-11-23
2022-11-17,Angola,1401,2022-11-23
2022-07-10,Angola,1392,2022-11-23
2022-07-07,Angola,1417,2022-11-23
2022-07-05,Angola,1414,2022-11-23
2022-06-05,Angola,1393,2022-11-23
2022-06-01,Angola,1392,2022-11-23
2022-03-29,Angola,1383,2022-11-23
2022-03-26,Angola,1380,2022-11-23
2021-11-16,Angola,1363,2022-11-23
2021-11-12,Angola,1358,2022-11-23
2021-10-11,Angola,1348,2022-11-23
2021-10-08,Angola,1368,2022-11-23
2021-09-07,Angola,1340,2022-11-23
2021-09-01,Angola,1366,2022-11-23
2021-03-29,Angola,1371,2022-11-23
2021-03-25,Angola,1339,2022-11-23
2020-11-17,Angola,1353,2022-11-23
2020-11-14,Angola,1372,2022-11-23
2020-10-13,Angola,1360,2022-11-23
2018-11-18,Angola,1325,2022-11-23
2018-10-16,Angola,1296,2022-11-23
2018-10-12,Angola,1309,2022-11-23
2018-09-09,Angola,1275,2022-11-23
2018-06-01,Angola,1256,2022-11-23
2018-05-30,Angola,1255,2022-11-23
2018-05-28,Angola,1242,2022-11-23
2018-03-24,Angola,1261,2022-11-23
2018-03-21,Angola,1252,2022-11-23
2017-06-29,Angola,1241,2022-11-23
2017-06-27,Angola,1238,2022-11-23
2017-06-25,Angola,1231,2022-11-23
2017-06-10,Angola,1220,2022-11-23
2017-03-28,Angola,1224,2022-11-23
2017-03-25,Angola,1215,2022-11-23
2022-06-12,Anguilla,621,2022-11-23
2022-06-05,Anguilla,624,2022-11-23
2022-06-02,Anguilla,607,2022-11-23
2022-02-13,Anguilla,592,2022-11-23
2022-01-27,Anguilla,574,2022-11-23
2021-06-05,Anguilla,563,2022-11-23
2021-06-02,Anguilla,563,2022-11-23
2021-05-23,Anguilla,568,2022-11-23
2021-03-30,Anguilla,554,2022-11-23
2021-03-27,Anguilla,556,2022-11-23
2021-03-21,Anguilla,558,2022-11-23
2018-11-18,Anguilla,586,2022-11-23
2018-10-14,Anguilla,570,2022-11-23
2018-09-07,Anguilla,571,2022-11-23
2018-08-26,Anguilla,573,2022-11-23
2018-08-22,Anguilla,578,2022-11-23
2018-07-28,Anguilla,570,2022-11-23
2018-07-27,Anguilla,577,2022-11-23
2022-06-12,Antigua and Barbuda,1164,2022-11-23
2022-06-09,Antigua and Barbuda,1177,2022-11-23
2022-06-05,Antigua and Barbuda,1200,2022-11-23
2022-06-02,Antigua and Barbuda,1177,2022-11-23
2021-06-08,Antigua and Barbuda,1164,2022-11-23
2021-06-04,Antigua and Barbuda,1170,2022-11-23
2021-03-27,Antigua and Barbuda,1153,2022-11-23
2021-03-24,Antigua and Barbuda,1144,2022-11-23
2021-03-21,Antigua and Barbuda,1158,2022-11-23
2018-11-19,Antigua and Barbuda,1171,2022-11-23
2018-10-12,Antigua and Barbuda,1177,2022-11-23
2018-09-07,Antigua and Barbuda,1152,2022-11-23
2018-04-29,Antigua and Barbuda,1206,2022-11-23
2018-04-01,Antigua and Barbuda,1212,2022-11-23
2018-03-25,Antigua and Barbuda,1219,2022-11-23
2018-03-21,Antigua and Barbuda,1210,2022-11-23
2022-11-16,Argentina,2143,2022-11-23
2022-09-27,Argentina,2141,2022-11-23
2022-09-23,Argentina,2140,2022-11-23
2022-06-05,Argentina,2139,2022-11-23
2022-06-01,Argentina,2138,2022-11-23
2022-03-29,Argentina,2108,2022-11-23
2022-03-25,Argentina,2118,2022-11-23
2022-02-01,Argentina,2115,2022-11-23
2022-01-27,Argentina,2110,2022-11-23
2021-11-16,Argentina,2101,2022-11-23
2021-11-12,Argentina,2104,2022-11-23
2021-10-14,Argentina,2088,2022-11-23
2021-10-10,Argentina,2084,2022-11-23
2021-10-07,Argentina,2069,2022-11-23
2021-09-09,Argentina,2079,2022-11-23
2021-09-02,Argentina,2077,2022-11-23
2021-07-10,Argentina,2063,2022-11-23
2021-07-06,Argentina,2023,2022-11-23
2021-07-03,Argentina,2032,2022-11-23
2021-06-28,Argentina,2012,2022-11-23
2021-06-21,Argentina,2005,2022-11-23
2021-06-18,Argentina,1993,2022-11-23
2021-06-14,Argentina,1970,2022-11-23
2021-06-08,Argentina,1981,2022-11-23
2021-06-03,Argentina,1978,2022-11-23
2020-11-17,Argentina,1991,2022-11-23
2020-11-12,Argentina,1965,2022-11-23
2020-10-13,Argentina,1979,2022-11-23
2020-10-08,Argentina,1972,2022-11-23
2018-11-20,Argentina,1915,2022-11-23
2018-11-16,Argentina,1908,2022-11-23
2018-10-16,Argentina,1901,2022-11-23
2018-10-11,Argentina,1908,2022-11-23
2018-09-11,Argentina,1901,2022-11-23
2018-09-07,Argentina,1900,2022-11-23
2018-06-30,Argentina,1896,2022-11-23
2018-06-26,Argentina,1918,2022-11-23
2018-06-21,Argentina,1902,2022-11-23
2018-06-16,Argentina,1968,2022-11-23
2018-05-29,Argentina,1985,2022-11-23
2018-03-27,Argentina,1984,2022-11-23
2018-03-23,Argentina,1996,2022-11-23
2017-11-14,Argentina,1984,2022-11-23
2017-11-11,Argentina,2010,2022-11-23
2017-10-10,Argentina,2005,2022-11-23
2017-10-05,Argentina,1985,2022-11-23
2017-09-05,Argentina,1996,2022-11-23
2017-08-31,Argentina,2013,2022-11-23
2017-06-13,Argentina,2017,2022-11-23
2017-06-09,Argentina,2017,2022-11-23
2017-03-28,Argentina,2004,2022-11-23
2017-03-23,Argentina,2056,2022-11-23
2022-11-19,Armenia,1452,2022-11-23
2022-11-16,Armenia,1460,2022-11-23
2022-09-27,Armenia,1456,2022-11-23
2022-09-24,Armenia,1462,2022-11-23
2022-06-14,Armenia,1479,2022-11-23
2022-06-11,Armenia,1507,2022-11-23
2022-06-08,Armenia,1516,2022-11-23
2022-06-04,Armenia,1526,2022-11-23
2022-03-29,Armenia,1501,2022-11-23
2022-03-24,Armenia,1507,2022-11-23
2021-11-14,Armenia,1499,2022-11-23
2021-11-11,Armenia,1507,2022-11-23
2021-10-11,Armenia,1558,2022-11-23
2021-10-08,Armenia,1568,2022-11-23
2021-09-08,Armenia,1563,2022-11-23
2021-09-05,Armenia,1582,2022-11-23
2021-09-02,Armenia,1589,2022-11-23
2021-06-05,Armenia,1584,2022-11-23
2021-06-01,Armenia,1587,2022-11-23
2021-03-31,Armenia,1579,2022-11-23
2021-03-28,Armenia,1559,2022-11-23
2021-03-25,Armenia,1529,2022-11-23
2020-11-18,Armenia,1523,2022-11-23
2020-11-15,Armenia,1498,2022-11-23
2020-10-14,Armenia,1468,2022-11-23
2020-10-11,Armenia,1467,2022-11-23
2020-09-08,Armenia,1461,2022-11-23
2020-09-05,Armenia,1441,2022-11-23
2018-11-19,Armenia,1448,2022-11-23
2018-11-16,Armenia,1460,2022-11-23
2018-10-16,Armenia,1444,2022-11-23
2018-10-13,Armenia,1402,2022-11-23
2018-09-09,Armenia,1440,2022-11-23
2018-09-06,Armenia,1457,2022-11-23
2018-06-04,Armenia,1454,2022-11-23
2018-05-29,Armenia,1458,2022-11-23
2018-03-27,Armenia,1464,2022-11-23
2018-03-24,Armenia,1479,2022-11-23
2017-11-13,Armenia,1481,2022-11-23
2017-11-09,Armenia,1475,2022-11-23
2017-10-08,Armenia,1460,2022-11-23
2017-10-05,Armenia,1461,2022-11-23
2017-09-04,Armenia,1476,2022-11-23
2017-09-01,Armenia,1494,2022-11-23
2017-06-10,Armenia,1501,2022-11-23
2017-06-04,Armenia,1521,2022-11-23
2017-03-26,Armenia,1516,2022-11-23
2022-06-09,Aruba,928,2022-11-23
2022-06-06,Aruba,936,2022-11-23
2022-06-03,Aruba,906,2022-11-23
2021-10-01,Aruba,909,2022-11-23
2021-06-05,Aruba,911,2022-11-23
2021-06-02,Aruba,913,2022-11-23
2021-03-30,Aruba,881,2022-11-23
2021-03-27,Aruba,885,2022-11-23
2018-11-16,Aruba,931,2022-11-23
2018-10-16,Aruba,982,2022-11-23
2018-09-09,Aruba,966,2022-11-23
2022-09-25,Australia,1719,2022-11-23
2022-09-22,Australia,1707,2022-11-23
2022-06-13,Australia,1703,2022-11-23
2022-06-07,Australia,1694,2022-11-23
2022-06-01,Australia,1683,2022-11-23
2022-03-29,Australia,1677,2022-11-23
2022-03-24,Australia,1696,2022-11-23
2022-02-01,Australia,1730,2022-11-23
2022-01-27,Australia,1737,2022-11-23
2021-11-16,Australia,1733,2022-11-23
2021-11-11,Australia,1745,2022-11-23
2021-10-12,Australia,1755,2022-11-23
2021-10-07,Australia,1772,2022-11-23
2021-09-07,Australia,1760,2022-11-23
2021-09-02,Australia,1752,2022-11-23
2021-06-15,Australia,1737,2022-11-23
2021-06-11,Australia,1730,2022-11-23
2021-06-07,Australia,1729,2022-11-23
2021-06-03,Australia,1728,2022-11-23
2018-12-30,Australia,1735,2022-11-23
2018-11-20,Australia,1725,2022-11-23
2018-11-17,Australia,1721,2022-11-23
2018-10-15,Australia,1722,2022-11-23
2018-06-26,Australia,1712,2022-11-23
2018-06-21,Australia,1742,2022-11-23
2018-06-16,Australia,1729,2022-11-23
2018-06-09,Australia,1741,2022-11-23
2018-06-01,Australia,1732,2022-11-23
2018-03-27,Australia,1713,2022-11-23
2018-03-23,Australia,1707,2022-11-23
2017-11-15,Australia,1727,2022-11-23
2017-11-10,Australia,1712,2022-11-23
2017-10-10,Australia,1711,2022-11-23
2017-10-05,Australia,1701,2022-11-23
2017-09-05,Australia,1706,2022-11-23
2017-08-31,Australia,1702,2022-11-23
2017-06-25,Australia,1721,2022-11-23
2017-06-22,Australia,1705,2022-11-23
2017-06-19,Australia,1707,2022-11-23
2017-06-13,Australia,1714,2022-11-23
2017-06-08,Australia,1720,2022-11-23
2017-03-28,Australia,1710,2022-11-23
2017-03-23,Australia,1698,2022-11-23
2022-11-20,Austria,1752,2022-11-23
2022-11-16,Austria,1730,2022-11-23
2022-09-25,Austria,1729,2022-11-23
2022-09-22,Austria,1755,2022-11-23
2022-06-13,Austria,1761,2022-11-23
2022-06-10,Austria,1771,2022-11-23
2022-06-06,Austria,1760,2022-11-23
2022-06-03,Austria,1775,2022-11-23
2022-03-29,Austria,1719,2022-11-23
2022-03-24,Austria,1722,2022-11-23
2021-11-15,Austria,1731,2022-11-23
2021-11-12,Austria,1729,2022-11-23
2021-10-12,Austria,1713,2022-11-23
2021-10-09,Austria,1717,2022-11-23
2021-09-07,Austria,1710,2022-11-23
2021-09-04,Austria,1741,2022-11-23
2021-09-01,Austria,1782,2022-11-23
2021-06-26,Austria,1778,2022-11-23
2021-06-21,Austria,1787,2022-11-23
2021-06-17,Austria,1758,2022-11-23
2021-06-13,Austria,1770,2022-11-23
2021-06-06,Austria,1747,2022-11-23
2021-06-02,Austria,1752,2022-11-23
2021-03-31,Austria,1755,2022-11-23
2021-03-28,Austria,1787,2022-11-23
2021-03-25,Austria,1785,2022-11-23
2020-11-18,Austria,1786,2022-11-23
2020-11-15,Austria,1794,2022-11-23
2020-11-11,Austria,1788,2022-11-23
2020-10-14,Austria,1783,2022-11-23
2020-10-11,Austria,1762,2022-11-23
2020-10-07,Austria,1742,2022-11-23
2020-09-07,Austria,1737,2022-11-23
2020-09-04,Austria,1766,2022-11-23
2018-11-18,Austria,1764,2022-11-23
2018-11-15,Austria,1744,2022-11-23
2018-10-16,Austria,1747,2022-11-23
2018-10-12,Austria,1753,2022-11-23
2018-09-11,Austria,1743,2022-11-23
2018-09-06,Austria,1757,2022-11-23
2018-06-10,Austria,1741,2022-11-23
2018-06-02,Austria,1747,2022-11-23
2018-05-30,Austria,1731,2022-11-23
2018-03-27,Austria,1725,2022-11-23
2018-03-23,Austria,1719,2022-11-23
2017-11-14,Austria,1709,2022-11-23
2017-10-09,Austria,1697,2022-11-23
2017-10-06,Austria,1689,2022-11-23
2017-09-05,Austria,1669,2022-11-23
2017-09-02,Austria,1683,2022-11-23
2017-06-11,Austria,1694,2022-11-23
2017-03-28,Austria,1684,2022-11-23
2017-03-24,Austria,1690,2022-11-23
2022-11-20,Azerbaijan,1423,2022-11-23
2022-11-16,Azerbaijan,1399,2022-11-23
2022-09-25,Azerbaijan,1390,2022-11-23
2022-09-22,Azerbaijan,1357,2022-11-23
2022-06-13,Azerbaijan,1321,2022-11-23
2022-06-10,Azerbaijan,1285,2022-11-23
2022-06-06,Azerbaijan,1292,2022-11-23
2022-06-03,Azerbaijan,1282,2022-11-23
2022-03-29,Azerbaijan,1301,2022-11-23
2022-03-25,Azerbaijan,1311,2022-11-23
2021-11-14,Azerbaijan,1321,2022-11-23
2021-11-11,Azerbaijan,1315,2022-11-23
2021-10-12,Azerbaijan,1350,2022-11-23
2021-10-09,Azerbaijan,1352,2022-11-23
2021-09-07,Azerbaijan,1374,2022-11-23
2021-09-04,Azerbaijan,1377,2022-11-23
2021-09-01,Azerbaijan,1361,2022-11-23
2021-06-06,Azerbaijan,1375,2022-11-23
2021-06-02,Azerbaijan,1387,2022-11-23
2021-05-27,Azerbaijan,1371,2022-11-23
2021-03-30,Azerbaijan,1372,2022-11-23
2021-03-27,Azerbaijan,1378,2022-11-23
2021-03-24,Azerbaijan,1382,2022-11-23
2020-11-17,Azerbaijan,1383,2022-11-23
2020-11-14,Azerbaijan,1378,2022-11-23
2020-11-11,Azerbaijan,1370,2022-11-23
2020-10-13,Azerbaijan,1362,2022-11-23
2020-10-10,Azerbaijan,1365,2022-11-23
2020-09-08,Azerbaijan,1375,2022-11-23
2020-09-05,Azerbaijan,1348,2022-11-23
2018-11-20,Azerbaijan,1403,2022-11-23
2018-11-17,Azerbaijan,1425,2022-11-23
2018-10-14,Azerbaijan,1413,2022-11-23
2018-10-11,Azerbaijan,1428,2022-11-23
2018-09-10,Azerbaijan,1393,2022-11-23
2018-09-07,Azerbaijan,1399,2022-11-23
2018-06-09,Azerbaijan,1403,2022-11-23
2018-06-05,Azerbaijan,1384,2022-11-23
2018-05-29,Azerbaijan,1399,2022-11-23
2018-03-27,Azerbaijan,1392,2022-11-23
2018-03-23,Azerbaijan,1388,2022-11-23
2018-01-30,Azerbaijan,1398,2022-11-23
2017-10-08,Azerbaijan,1400,2022-11-23
2017-10-05,Azerbaijan,1401,2022-11-23
2017-09-04,Azerbaijan,1413,2022-11-23
2017-09-01,Azerbaijan,1411,2022-11-23
2017-06-10,Azerbaijan,1423,2022-11-23
2017-03-26,Azerbaijan,1436,2022-11-23
2017-03-09,Azerbaijan,1440,2022-11-23
2022-06-13,Bahamas,861,2022-11-23
2022-06-10,Bahamas,865,2022-11-23
2022-06-06,Bahamas,875,2022-11-23
2022-06-03,Bahamas,876,2022-11-23
2022-05-14,Bahamas,847,2022-11-23
2022-05-12,Bahamas,862,2022-11-23
2022-03-26,Bahamas,854,2022-11-23
2021-07-03,Bahamas,866,2022-11-23
2021-06-05,Bahamas,873,2022-11-23
2021-06-02,Bahamas,857,2022-11-23
2021-03-30,Bahamas,877,2022-11-23
2021-03-27,Bahamas,888,2022-11-23
2021-03-07,Bahamas,906,2022-11-23
2021-03-05,Bahamas,898,2022-11-23
2018-11-18,Bahamas,856,2022-11-23
2018-10-12,Bahamas,872,2022-11-23
2018-09-07,Bahamas,897,2022-11-23
2022-11-18,Bahrain,1494,2022-11-23
2022-11-11,Bahrain,1500,2022-11-23
2022-09-27,Bahrain,1495,2022-11-23
2022-09-23,Bahrain,1508,2022-11-23
2022-06-14,Bahrain,1522,2022-11-23
2022-06-11,Bahrain,1515,2022-11-23
2022-06-08,Bahrain,1506,2022-11-23
2022-05-31,Bahrain,1505,2022-11-23
2022-05-27,Bahrain,1495,2022-11-23
2022-05-24,Bahrain,1494,2022-11-23
2022-03-29,Bahrain,1510,2022-11-23
2022-03-26,Bahrain,1524,2022-11-23
2022-03-23,Bahrain,1522,2022-11-23
2022-02-01,Bahrain,1520,2022-11-23
2022-01-27,Bahrain,1513,2022-11-23
2021-12-06,Bahrain,1504,2022-11-23
2021-12-03,Bahrain,1543,2022-11-23
2021-11-30,Bahrain,1541,2022-11-23
2021-11-16,Bahrain,1551,2022-11-23
2021-10-12,Bahrain,1548,2022-11-23
2021-10-06,Bahrain,1570,2022-11-23
2021-09-07,Bahrain,1558,2022-11-23
2021-09-01,Bahrain,1582,2022-11-23
2021-06-25,Bahrain,1563,2022-11-23
2021-06-15,Bahrain,1546,2022-11-23
2021-06-07,Bahrain,1541,2022-11-23
2021-06-03,Bahrain,1566,2022-11-23
2021-05-28,Bahrain,1565,2022-11-23
2021-05-23,Bahrain,1563,2022-11-23
2021-03-30,Bahrain,1555,2022-11-23
2021-03-25,Bahrain,1570,2022-11-23
2020-11-16,Bahrain,1562,2022-11-23
2020-11-12,Bahrain,1547,2022-11-23
2020-11-07,Bahrain,1537,2022-11-23
2018-12-29,Bahrain,1431,2022-11-23
2018-12-27,Bahrain,1416,2022-11-23
2018-12-20,Bahrain,1407,2022-11-23
2018-11-19,Bahrain,1400,2022-11-23
2018-10-16,Bahrain,1404,2022-11-23
2018-10-11,Bahrain,1401,2022-11-23
2018-09-10,Bahrain,1409,2022-11-23
2018-09-06,Bahrain,1408,2022-11-23
2018-03-27,Bahrain,1415,2022-11-23
2018-03-22,Bahrain,1400,2022-11-23
2018-01-02,Bahrain,1403,2022-11-23
2017-12-29,Bahrain,1418,2022-11-23
2017-12-26,Bahrain,1415,2022-11-23
2017-12-23,Bahrain,1405,2022-11-23
2017-12-18,Bahrain,1397,2022-11-23
2017-11-14,Bahrain,1398,2022-11-23
2017-11-09,Bahrain,1382,2022-11-23
2017-10-10,Bahrain,1369,2022-11-23
2017-09-05,Bahrain,1406,2022-11-23
2017-08-29,Bahrain,1404,2022-11-23
2017-06-13,Bahrain,1404,2022-11-23
2017-06-06,Bahrain,1385,2022-11-23
2017-03-28,Bahrain,1406,2022-11-23
2017-03-23,Bahrain,1423,2022-11-23
2022-09-27,Bangladesh,844,2022-11-23
2022-09-22,Bangladesh,852,2022-11-23
2022-06-14,Bangladesh,839,2022-11-23
2022-06-11,Bangladesh,844,2022-11-23
2022-06-08,Bangladesh,848,2022-11-23
2022-06-01,Bangladesh,849,2022-11-23
2022-03-29,Bangladesh,840,2022-11-23
2022-03-24,Bangladesh,845,2022-11-23
2021-11-16,Bangladesh,854,2022-11-23
2021-11-13,Bangladesh,874,2022-11-23
2021-11-10,Bangladesh,856,2022-11-23
2021-10-13,Bangladesh,854,2022-11-23
2021-10-07,Bangladesh,848,2022-11-23
2021-10-04,Bangladesh,865,2022-11-23
2021-10-01,Bangladesh,850,2022-11-23
2021-09-07,Bangladesh,840,2022-11-23
2021-09-05,Bangladesh,842,2022-11-23
2021-06-15,Bangladesh,844,2022-11-23
2021-06-07,Bangladesh,846,2022-11-23
2021-06-03,Bangladesh,854,2022-11-23
2021-03-29,Bangladesh,840,2022-11-23
2021-03-27,Bangladesh,849,2022-11-23
2020-12-04,Bangladesh,842,2022-11-23
2020-11-17,Bangladesh,842,2022-11-23
2020-11-13,Bangladesh,843,2022-11-23
2020-01-23,Bangladesh,828,2022-11-23
2020-01-19,Bangladesh,838,2022-11-23
2020-01-15,Bangladesh,828,2022-11-23
2018-10-10,Bangladesh,791,2022-11-23
2018-10-05,Bangladesh,794,2022-11-23
2018-10-01,Bangladesh,799,2022-11-23
2018-09-08,Bangladesh,789,2022-11-23
2018-09-06,Bangladesh,822,2022-11-23
2018-09-04,Bangladesh,798,2022-11-23
2018-08-29,Bangladesh,789,2022-11-23
2018-03-27,Bangladesh,805,2022-11-23
2022-06-12,Barbados,1007,2022-11-23
2022-06-09,Barbados,1013,2022-11-23
2022-06-05,Barbados,1024,2022-11-23
2022-06-02,Barbados,1033,2022-11-23
2022-03-27,Barbados,1046,2022-11-23
2022-03-25,Barbados,1070,2022-11-23
2022-02-22,Barbados,1077,2022-11-23
2022-01-30,Barbados,1080,2022-11-23
2022-01-28,Barbados,1077,2022-11-23
2021-07-02,Barbados,1080,2022-11-23
2021-06-08,Barbados,1110,2022-11-23
2021-06-04,Barbados,1115,2022-11-23
2021-03-30,Barbados,1105,2022-11-23
2021-03-25,Barbados,1103,2022-11-23
2021-03-19,Barbados,1106,2022-11-23
2020-01-10,Barbados,1101,2022-11-23
