date,team,opponent,GF,GA,did_score_team,fail_to_score_team,did_receive_goal_team,not_receive_goal_team,GF_last_5_team,GA_last_5_team,pre_rating_team,pre_rating_opponent,qatar,dr_pre,did_score_opponent,fail_to_score_opponent,did_receive_goal_opponent,not_receive_goal_opponent,GF_last_5_opponent,GA_last_5_opponent
2021-09-02,Czechia,Belarus,1,0,4,1,3,2,6,4,1837,1980,FALSE,-43,4,1,5,0,8,16
2021-06-27,Czechia,Netherlands,2,0,3,2,4,1,6,7,1799,1978,FALSE,-179,5,0,2,3,13,4
2021-06-08,Czechia,Albania,3,1,3,2,4,1,9,8,1764,2014,FALSE,-150,3,2,2,3,6,4
2021-03-27,Czechia,Belgium,1,1,3,2,3,2,9,4,1769,1375,FALSE,494,5,0,4,1,13,5
2021-03-24,Czechia,Estonia,6,2,3,2,3,2,5,3,1761,1664,FALSE,97,3,2,4,1,5,10
2020-11-18,Czechia,Slovakia,2,0,3,2,4,1,5,4,1744,1572,FALSE,272,3,2,3,2,5,5
2020-11-15,Czechia,Israel,1,0,3,2,5,0,5,6,1737,1969,FALSE,-132,4,1,4,1,6,6
2020-09-07,Czechia,Scotland,1,2,4,1,3,2,7,3,1774,1696,FALSE,178,5,0,4,1,10,8
2018-11-19,Czechia,Slovakia,1,0,4,1,4,1,5,9,1712,1737,FALSE,75,4,1,4,1,9,5
2018-09-06,Czechia,Ukraine,1,2,3,2,3,2,6,7,1713,1684,FALSE,129,4,1,4,1,9,4
2018-06-06,Czechia,Nigeria,1,0,3,2,4,1,7,8,1703,1732,FALSE,-29,4,1,4,1,7,7
2022-09-27,Democratic Republic of Congo,Sierra Leone,3,0,3,2,5,0,3,9,1445,1589,FALSE,-144,4,1,4,1,6,9
2022-06-04,Democratic Republic of Congo,Gabon,0,1,4,1,3,2,7,6,1504,1738,FALSE,-234,5,0,4,1,6,5
2022-03-25,Democratic Republic of Congo,Morocco,1,1,3,2,2,3,7,2,1507,1520,FALSE,-13,5,0,3,2,8,5
2021-11-14,Democratic Republic of Congo,Benin,2,0,4,1,3,2,7,3,1495,1320,FALSE,175,4,1,2,3,5,2
2021-10-07,Democratic Republic of Congo,Madagascar,2,0,4,1,4,1,4,4,1473,1463,FALSE,10,2,3,4,1,3,9
2021-09-02,Democratic Republic of Congo,Tanzania,1,1,3,2,3,2,3,5,1480,1551,FALSE,-71,4,1,3,2,5,4
2021-06-11,Democratic Republic of Congo,Mali,1,1,2,3,2,3,2,4,1478,1650,FALSE,-172,3,2,3,2,6,3
2021-03-29,Democratic Republic of Congo,Gambia,1,0,2,3,3,2,2,7,1472,1466,FALSE,6,5,0,3,2,8,4
2020-11-14,Democratic Republic of Congo,Angola,0,0,4,1,5,0,4,8,1497,1669,FALSE,-172,4,1,3,2,10,3
2018-10-13,Democratic Republic of Congo,Zimbabwe,1,2,4,1,5,0,7,6,1579,1318,FALSE,261,3,2,4,1,6,5
2022-11-22,Denmark,Tunisia,,,4,1,3,2,7,4,1971,2005,TRUE,-34,5,0,1,4,9,5
2022-09-25,Denmark,France,2,0,4,1,4,1,7,5,1942,1896,FALSE,146,4,1,4,1,5,5
2022-06-13,Denmark,Austria,2,0,4,1,4,1,9,7,1951,1842,FALSE,209,5,0,4,1,8,7
2022-06-10,Denmark,Croatia,0,1,4,1,4,1,9,8,1984,1760,FALSE,324,4,1,4,1,5,6
2022-03-29,Denmark,Serbia,3,0,4,1,3,2,10,7,1926,1940,FALSE,86,5,0,2,3,11,2
2021-11-12,Denmark,Faroe Islands,3,1,5,0,0,5,13,0,1983,1713,FALSE,370,1,4,5,0,2,9
2021-10-12,Denmark,Austria,1,0,5,0,1,4,13,2,1979,1200,FALSE,879,4,1,3,2,7,8
2021-09-07,Denmark,Israel,5,0,5,0,2,3,10,3,1971,1247,FALSE,824,4,1,4,1,16,8
2021-09-01,Denmark,Scotland,2,0,5,0,4,1,12,6,1965,2040,FALSE,25,3,2,3,2,4,7
2021-07-03,Denmark,Czechia,2,1,4,1,3,2,11,4,1963,1822,FALSE,141,4,1,3,2,8,3
2021-06-26,Denmark,Wales,4,0,4,1,4,1,8,5,1925,1730,FALSE,195,2,3,3,2,3,5
2021-06-21,Denmark,Russia,4,1,4,1,3,2,8,4,1909,2135,FALSE,-126,4,1,3,2,4,6
2021-06-17,Denmark,Belgium,1,2,4,1,2,3,15,2,1928,1729,FALSE,299,5,0,2,3,14,2
2021-06-12,Denmark,Finland,0,1,5,0,1,4,17,1,1973,1628,FALSE,445,3,2,5,0,5,9
2021-06-06,Denmark,Bosnia and Herzegovina,2,0,5,0,2,3,17,5,1971,1935,FALSE,136,1,4,3,2,2,5
2021-06-02,Denmark,Germany,1,1,5,0,2,3,18,5,1972,1755,FALSE,217,4,1,3,2,8,9
2021-03-28,Denmark,Moldova,8,0,5,0,2,3,9,5,1939,1580,FALSE,459,1,4,4,1,1,8
2020-11-15,Denmark,Iceland,2,1,4,1,0,5,10,0,1934,1809,FALSE,225,4,1,5,0,5,13
2020-11-11,Denmark,Sweden,2,0,3,2,1,4,8,2,1927,1965,FALSE,62,2,3,5,0,3,9
2020-10-07,Denmark,Faroe Islands,4,0,2,3,2,3,4,3,1869,1967,FALSE,2,4,1,4,1,6,6
2020-09-08,Denmark,England,0,0,2,3,2,3,4,3,1869,2106,FALSE,-137,4,1,2,3,9,3
2020-09-05,Denmark,Belgium,0,2,3,2,1,4,6,1,1898,1704,FALSE,294,5,0,3,2,10,7
2018-11-19,Denmark,Ireland,0,0,3,2,2,3,6,4,1913,1775,FALSE,238,2,3,3,2,2,6
2018-10-16,Denmark,Austria,2,0,2,3,2,3,3,4,1887,1716,FALSE,271,3,2,3,2,5,5
2018-09-09,Denmark,Wales,2,0,3,2,3,2,3,5,1875,1772,FALSE,203,3,2,3,2,11,3
2018-06-26,Denmark,France,0,0,3,2,1,4,4,1,1878,1742,FALSE,136,5,0,3,2,9,3
2018-06-16,Denmark,Peru,1,0,3,2,1,4,8,1,1856,1850,FALSE,6,4,1,1,4,10,1
2018-06-09,Denmark,Mexico,2,0,2,3,1,4,6,1,1845,1794,FALSE,151,3,2,1,4,5,1
2018-03-27,Denmark,Chile,0,0,4,1,2,3,8,2,1845,1668,FALSE,277,2,3,5,0,4,9
2018-03-22,Denmark,Panama,1,0,4,1,3,2,11,3,1842,1731,FALSE,211,4,1,4,1,9,8
2021-06-15,Djibouti,Somalia,1,0,,,,,,,792,1074,FALSE,-182,,,,,,
2022-06-09,Dominica,Saint Lucia,0,1,4,1,4,1,7,4,1016,624,FALSE,492,3,2,3,2,6,6
2022-05-15,Dominica,Saint Vincent and the Grenadines,3,1,4,1,4,1,7,5,1033,1130,FALSE,3,3,2,4,1,5,19
2022-05-12,Dominica,Saint Vincent and the Grenadines,2,1,4,1,3,2,7,4,1023,1110,FALSE,13,2,3,4,1,4,22
2021-06-02,Dominica,Anguilla,3,0,2,3,3,2,3,8,1013,1544,FALSE,-431,2,3,3,2,2,8
2018-11-20,Dominica,Sint Maarten,2,0,1,4,2,3,2,7,1029,1537,FALSE,-508,3,2,5,0,6,34
2018-09-06,Dominica,Suriname,0,0,2,3,2,3,4,3,1018,1234,FALSE,-216,,,,,,
2022-11-18,Dominican Republic,Cuba,1,1,4,1,4,1,7,10,1174,1329,FALSE,-55,5,0,3,2,13,5
2022-11-15,Dominican Republic,Cuba,2,4,3,2,4,1,5,9,1188,1462,FALSE,-174,5,0,2,3,12,3
2022-06-10,Dominican Republic,Guatemala,1,1,4,1,3,2,11,7,1185,1334,FALSE,-49,3,2,2,3,8,3
2022-06-05,Dominican Republic,French Guiana,2,3,4,1,2,3,10,4,1204,1076,FALSE,228,5,0,4,1,9,5
2021-06-04,Dominican Republic,Barbados,1,1,2,3,2,3,7,2,1185,556,FALSE,729,4,1,3,2,5,9
2021-03-27,Dominican Republic,Anguilla,6,0,2,3,2,3,4,2,1183,1015,FALSE,168,2,3,4,1,2,14
2021-03-24,Dominican Republic,Dominica,1,0,2,3,2,3,8,2,1175,1780,FALSE,-505,1,4,1,4,2,5
2021-01-25,Dominican Republic,Serbia,0,0,3,2,3,2,10,3,1166,992,FALSE,274,4,1,4,1,9,5
2021-01-19,Dominican Republic,Puerto Rico,0,1,4,1,2,3,14,2,1265,1339,FALSE,26,,,,,,
2018-10-12,Dominican Republic,Cayman Islands,3,0,5,0,1,4,15,1,1271,977,FALSE,394,,,,,,
2018-09-09,Dominican Republic,Bonaire,5,0,,,,,,,1257,1248,FALSE,9,,,,,,
2018-03-25,Dominican Republic,Saint Kitts and Nevis,2,1,,,,,,,1250,762,FALSE,588,3,2,4,1,3,10
2018-03-22,Dominican Republic,Turks and Caicos Islands,4,0,,,,,,,1249,1267,FALSE,82,,,,,,
2022-05-28,East Timor,Nepal,2,2,1,4,5,0,1,18,621,1217,FALSE,-596,3,2,3,2,3,6
2018-09-01,East Timor,Brunei,3,1,,,,,,,635,1159,FALSE,-524,,,,,,
2022-11-29,Ecuador,Senegal,,,,,,,,,,,TRUE,,,,,,,
2022-11-12,Ecuador,Iraq,0,0,2,3,0,5,2,0,1840,1798,FALSE,42,4,1,3,2,4,6
2022-09-27,Ecuador,Japan,0,0,3,2,1,4,3,1,1841,1627,FALSE,214,3,2,1,4,11,3
2022-09-23,Ecuador,Saudi Arabia,0,0,4,1,2,3,4,4,1847,1471,FALSE,376,2,3,4,1,2,5
2022-06-11,Ecuador,Cape Verde,1,0,4,1,3,2,4,5,1845,1831,FALSE,14,4,1,1,4,12,2
2022-06-05,Ecuador,Mexico,0,0,5,0,4,1,5,6,1845,1637,FALSE,208,3,2,2,3,5,4
2022-06-02,Ecuador,Nigeria,1,0,5,0,5,0,5,7,1840,2108,FALSE,-268,3,2,3,2,4,4
2022-03-29,Ecuador,Argentina,1,1,5,0,4,1,6,6,1830,1741,FALSE,189,4,1,1,4,7,1
2022-01-27,Ecuador,Brazil,1,1,4,1,2,3,7,3,1849,1503,FALSE,446,3,2,2,3,8,2
2021-12-04,Ecuador,El Salvador,1,1,4,1,2,3,7,4,1857,1789,FALSE,68,3,2,5,0,3,8
2021-11-11,Ecuador,Venezuela,1,0,3,2,3,2,7,5,1808,1887,FALSE,21,3,2,5,0,4,10
2021-10-27,Ecuador,Mexico,3,2,2,3,2,3,4,3,1795,1924,FALSE,-129,5,0,2,3,8,2
2021-10-07,Ecuador,Bolivia,3,0,2,3,3,2,3,5,1792,1946,FALSE,-54,3,2,5,0,4,14
2021-09-05,Ecuador,Chile,0,0,4,1,4,1,7,8,1807,1786,FALSE,121,2,3,4,1,2,5
2021-09-02,Ecuador,Paraguay,2,0,3,2,5,0,5,9,1783,2032,FALSE,-149,3,2,4,1,8,6
2021-06-23,Ecuador,Peru,2,2,3,2,5,0,5,8,1778,1772,FALSE,6,2,3,5,0,4,11
2021-06-20,Ecuador,Venezuela,2,2,3,2,5,0,9,7,1778,1944,FALSE,-166,2,3,3,2,3,7
2021-06-08,Ecuador,Peru,1,2,4,1,5,0,15,8,1823,2141,FALSE,-218,2,3,5,0,4,13
2021-03-29,Ecuador,Bolivia,2,1,4,1,5,0,15,7,1826,1896,FALSE,30,4,1,5,0,6,14
2020-11-17,Ecuador,Colombia,6,1,4,1,4,1,11,6,1779,1569,FALSE,310,4,1,4,1,12,8
2020-10-13,Ecuador,Uruguay,4,2,3,2,3,2,7,6,1721,1972,FALSE,-151,3,2,5,0,6,9
2018-10-16,Ecuador,Oman,0,0,5,0,3,2,9,9,1747,1521,FALSE,226,2,3,1,4,2,1
2018-09-11,Ecuador,Guatemala,2,0,4,1,4,1,5,9,1755,1562,FALSE,193,,,,,,
2018-09-07,Ecuador,Jamaica,2,0,4,1,5,0,6,10,1747,2005,FALSE,-258,5,0,4,1,13,5
2022-11-18,Egypt,Belgium,2,1,4,1,2,3,8,6,1644,1311,FALSE,333,4,1,4,1,10,4
2022-09-27,Egypt,Liberia,3,0,3,2,3,2,5,7,1640,1255,FALSE,485,1,4,4,1,1,9
2022-09-23,Egypt,Niger,3,0,3,2,3,2,3,7,1637,1805,FALSE,-68,5,0,5,0,11,7
2022-06-05,Egypt,Guinea,1,0,2,3,2,3,3,2,1695,1729,FALSE,66,2,3,2,3,2,3
2022-03-25,Egypt,Senegal,1,0,2,3,1,4,3,1,1693,1731,FALSE,62,3,2,2,3,8,2
2022-02-06,Egypt,Senegal,0,0,3,2,1,4,4,1,1690,1632,FALSE,58,3,2,2,3,8,2
2022-01-30,Egypt,Morocco,2,1,2,3,1,4,2,1,1654,1687,FALSE,-33,5,0,3,2,9,5
2022-01-26,Egypt,Ivory Coast,0,0,2,3,2,3,2,2,1651,1302,FALSE,349,4,1,3,2,9,4
2022-01-19,Egypt,Sudan,1,0,2,3,3,2,4,3,1645,1375,FALSE,270,2,3,3,2,3,7
2022-01-15,Egypt,Guinea-Bissau,1,0,2,3,4,1,4,4,1635,1673,FALSE,-38,0,5,2,3,0,8
2021-12-11,Egypt,Jordan,3,1,5,0,3,2,11,4,1656,1759,FALSE,-103,3,2,3,2,8,6
2021-12-04,Egypt,Sudan,5,0,5,0,2,3,9,3,1637,1371,FALSE,266,2,3,4,1,3,10
2021-12-01,Egypt,Lebanon,1,0,5,0,2,3,10,3,1629,1416,FALSE,213,2,3,4,1,4,6
2021-11-16,Egypt,Gabon,2,1,5,0,2,3,9,3,1623,1358,FALSE,365,5,0,3,2,6,6
2021-10-08,Egypt,Libya,1,0,5,0,2,3,9,2,1606,1365,FALSE,341,2,3,4,1,3,4
2021-09-30,Egypt,Liberia,2,0,5,0,3,2,10,3,1602,1419,FALSE,283,3,2,3,2,3,8
2021-09-01,Egypt,Angola,1,0,5,0,3,2,12,4,1602,1234,FALSE,468,2,3,2,3,5,2
2021-03-29,Egypt,Comoros,4,0,5,0,3,2,10,4,1597,1369,FALSE,328,4,1,4,1,7,4
2020-11-14,Egypt,Togo,1,0,5,0,3,2,16,5,1617,1661,FALSE,56,4,1,3,2,4,6
2018-11-16,Egypt,Tunisia,3,2,5,0,3,2,14,6,1598,1225,FALSE,473,5,0,3,2,9,7
2018-10-12,Egypt,Eswatini,4,1,3,2,4,1,8,9,1582,1300,FALSE,382,0,5,5,0,0,8
2018-09-08,Egypt,Niger,6,0,2,3,4,1,2,9,1573,1583,FALSE,90,3,2,3,2,7,6
2022-06-14,El Salvador,United States,1,1,3,2,5,0,8,11,1490,1136,FALSE,454,3,2,2,3,13,3
2022-06-04,El Salvador,Grenada,3,1,3,2,5,0,5,11,1499,1615,FALSE,-16,1,4,4,1,1,12
2022-05-01,El Salvador,Panama,3,2,2,3,5,0,2,11,1485,1495,FALSE,-10,4,1,4,1,6,9
2022-03-27,El Salvador,Costa Rica,1,2,2,3,4,1,3,5,1526,1532,FALSE,94,4,1,1,4,5,1
2022-02-02,El Salvador,Canada,0,2,3,2,4,1,4,5,1534,1441,FALSE,193,5,0,2,3,11,2
2021-11-12,El Salvador,Jamaica,1,1,2,3,4,1,2,7,1506,1657,FALSE,-51,2,3,3,2,3,6
2021-10-13,El Salvador,Mexico,0,2,2,3,3,2,2,7,1523,1622,FALSE,1,5,0,3,2,8,3
2021-10-07,El Salvador,Panama,1,0,0,5,2,3,0,5,1515,1460,FALSE,155,4,1,3,2,9,5
2021-09-05,El Salvador,Honduras,0,0,2,3,2,3,4,4,1549,1852,FALSE,-203,3,2,4,1,8,8
2021-09-02,El Salvador,United States,0,0,3,2,2,3,6,4,1538,1627,FALSE,11,5,0,1,4,10,1
2021-07-14,El Salvador,Trinidad and Tobago,2,0,3,2,1,4,8,1,1535,1463,FALSE,72,3,2,2,3,9,2
2021-07-11,El Salvador,Guatemala,2,0,3,2,1,4,9,1,1497,1662,FALSE,-165,3,2,1,4,15,1
2021-06-26,El Salvador,Guatemala,0,0,5,0,1,4,17,1,1503,1198,FALSE,305,4,1,0,5,15,0
2021-06-15,El Salvador,Saint Kitts and Nevis,2,0,5,0,1,4,17,1,1497,1204,FALSE,393,3,2,2,3,8,6
2021-06-08,El Salvador,Antigua and Barbuda,3,0,3,2,3,2,10,8,1469,659,FALSE,910,5,0,2,3,11,6
2021-03-28,El Salvador,Montserrat,1,1,2,3,3,2,3,8,1486,1206,FALSE,280,,,,,,
2021-03-25,El Salvador,Grenada,2,0,2,3,3,2,4,8,1480,1746,FALSE,-166,3,2,5,0,8,23
2018-11-20,El Salvador,Haiti,1,0,3,2,3,2,6,7,1445,1183,FALSE,362,4,1,2,3,18,5
2018-10-13,El Salvador,Barbados,3,0,3,2,3,2,4,8,1471,2120,FALSE,-549,3,2,4,1,5,7
2018-06-02,El Salvador,Honduras,1,0,4,1,3,2,5,6,1457,1524,FALSE,-67,3,2,4,1,5,8
2022-11-25,England,United States,,,,,,,,,,,TRUE,,,,,,,
2022-11-21,England,IR Iran,,,2,3,4,1,4,9,1920,1960,TRUE,-40,4,1,3,2,4,5
2022-09-26,England,Germany,3,3,1,4,4,1,1,7,1924,1964,FALSE,60,4,1,5,0,8,6
2022-06-14,England,Hungary,0,4,3,2,3,2,6,3,2004,1976,FALSE,128,4,1,3,2,4,4
2022-06-11,England,Italy,0,0,4,1,3,2,16,3,2012,1969,FALSE,143,3,2,5,0,6,8
2022-03-29,England,Ivory Coast,3,0,5,0,2,3,23,2,2037,1929,FALSE,208,4,1,3,2,7,5
2022-03-26,England,Switzerland,2,1,5,0,2,3,22,2,2032,794,FALSE,1338,4,1,1,4,11,1
2021-11-12,England,Albania,5,0,5,0,2,3,15,2,2029,1695,FALSE,434,4,1,2,3,8,5
2021-10-12,England,Hungary,1,1,5,0,2,3,15,2,2046,1036,FALSE,1110,2,3,5,0,4,9
2021-09-05,England,Andorra,4,0,5,0,2,3,13,2,2056,1735,FALSE,421,3,2,3,2,4,11
2021-07-11,England,Italy,1,1,4,1,1,4,9,1,2040,1965,FALSE,175,5,0,3,2,9,3
2021-07-07,England,Denmark,2,1,4,1,0,5,8,0,2025,1795,FALSE,330,4,1,4,1,11,5
2021-07-03,England,Ukraine,4,0,4,1,0,5,5,0,2001,1916,FALSE,85,4,1,4,1,10,6
2021-06-29,England,Germany,2,0,4,1,0,5,4,0,1978,1799,FALSE,279,4,1,5,0,14,7
2021-06-22,England,Czechia,1,0,4,1,1,4,5,1,1969,1661,FALSE,408,3,2,4,1,6,7
2021-06-18,England,Scotland,0,0,5,0,1,4,7,1,1991,1816,FALSE,275,4,1,3,2,8,5
2021-06-13,England,Croatia,1,0,5,0,1,4,11,1,1982,1629,FALSE,453,3,2,3,2,5,3
2021-06-06,England,Romania,1,0,5,0,1,4,14,1,1981,1752,FALSE,329,4,1,5,0,7,9
2021-06-02,England,Austria,1,0,4,1,2,3,13,3,1978,1808,FALSE,270,4,1,5,0,8,9
2021-03-31,England,Poland,2,1,4,1,1,4,14,2,1971,1550,FALSE,521,4,1,3,2,9,7
2021-03-25,England,San Marino,5,0,3,2,3,2,9,4,1962,1633,FALSE,429,0,5,3,2,0,9
2020-11-18,England,Iceland,4,0,3,2,3,2,8,4,1956,2100,FALSE,-44,4,1,5,0,5,10
2020-11-12,England,Ireland,3,0,3,2,2,3,6,2,1965,1927,FALSE,138,1,4,3,2,1,3
2020-10-14,England,Denmark,0,1,4,1,2,3,8,2,1995,2078,FALSE,17,2,3,1,4,7,2
2020-10-11,England,Belgium,2,1,4,1,1,4,9,1,1973,1800,FALSE,273,5,0,3,2,12,7
2020-10-08,England,Wales,3,0,4,1,2,3,9,3,1967,1869,FALSE,198,4,1,2,3,4,3
2018-11-18,England,Croatia,2,1,4,1,2,3,8,4,1946,1749,FALSE,297,3,2,4,1,6,10
2018-11-15,England,United States,3,0,3,2,3,2,5,6,1940,2029,FALSE,11,4,1,4,1,5,8
2018-09-11,England,Switzerland,1,0,4,1,4,1,5,7,1893,2030,FALSE,-37,4,1,4,1,11,5
2018-09-08,England,Spain,1,2,3,2,4,1,4,6,1913,2058,FALSE,-45,5,0,3,2,8,6
2018-07-07,England,Sweden,2,0,4,1,4,1,11,4,1943,1939,FALSE,4,4,1,1,4,6,2
2018-06-24,England,Panama,6,1,5,0,3,2,8,3,1957,1647,FALSE,310,1,4,3,2,1,10
2018-06-18,England,Tunisia,2,1,4,1,2,3,6,2,1948,1749,FALSE,199,4,1,3,2,6,5
2018-06-07,England,Costa Rica,2,0,3,2,2,3,4,2,1943,1694,FALSE,349,2,3,3,2,4,7
2018-06-02,England,Nigeria,2,1,3,2,1,4,3,1,1941,1898,FALSE,143,4,1,4,1,7,6
2018-03-27,England,Italy,1,1,3,2,0,5,3,0,1945,1883,FALSE,162,2,3,3,2,2,4
2022-09-27,Equatorial Guinea,Togo,2,2,1,4,2,3,2,7,1437,1274,FALSE,163,4,1,4,1,7,7
2022-09-23,Equatorial Guinea,Rwanda,0,0,2,3,3,2,3,10,1442,1334,FALSE,108,3,2,4,1,5,6
2022-06-06,Equatorial Guinea,Libya,2,0,1,4,3,2,1,10,1426,1625,FALSE,-99,3,2,3,2,5,5
2022-01-26,Equatorial Guinea,Mali,0,0,4,1,2,3,4,2,1483,1359,FALSE,124,5,0,1,4,8,1
2022-01-20,Equatorial Guinea,Sierra Leone,1,0,4,1,3,2,4,3,1464,1743,FALSE,-279,3,2,4,1,5,6
2022-01-16,Equatorial Guinea,Algeria,1,0,4,1,3,2,5,3,1419,1659,FALSE,-240,4,1,2,3,9,3
2021-11-13,Equatorial Guinea,Tunisia,1,0,4,1,3,2,5,6,1400,1412,FALSE,88,4,1,0,5,9,0
2021-10-07,Equatorial Guinea,Zambia,2,0,4,1,2,3,4,5,1365,1361,FALSE,104,2,3,4,1,4,5
2021-09-07,Equatorial Guinea,Mauritania,1,0,4,1,3,2,6,7,1349,1647,FALSE,-198,5,0,2,3,6,6
2021-03-25,Equatorial Guinea,Tanzania,1,0,2,3,4,1,4,5,1349,1402,FALSE,47,2,3,5,0,2,6
2020-11-15,Equatorial Guinea,Libya,1,0,2,3,4,1,4,5,1329,1422,FALSE,7,4,1,5,0,13,13
2020-11-11,Equatorial Guinea,Libya,3,2,1,4,4,1,1,4,1295,1758,FALSE,-463,3,2,4,1,11,10
2018-11-17,Equatorial Guinea,Senegal,0,1,2,3,4,1,4,4,1300,1390,FALSE,10,4,1,3,2,8,5
2018-10-13,Equatorial Guinea,Madagascar,0,1,3,2,4,1,5,7,1336,1235,FALSE,201,2,3,3,2,3,4
2018-09-08,Equatorial Guinea,Sudan,1,0,,,,,,,1326,1367,FALSE,59,,,,,,
2020-01-25,Eritrea,Sudan,0,1,,,,,,,,,FALSE,,2,3,5,0,4,9
2022-11-19,Estonia,Lithuania,2,0,4,1,3,2,9,3,1422,1348,FALSE,174,2,3,4,1,2,6
2022-09-23,Estonia,Malta,2,1,2,3,3,2,4,8,1411,1556,FALSE,-45,4,1,2,3,6,3
2022-06-02,Estonia,San Marino,2,0,1,4,4,1,1,8,1386,1335,FALSE,151,1,4,5,0,1,21
2022-03-24,Estonia,Cyprus,0,0,2,3,3,2,3,6,1429,1834,FALSE,-305,2,3,5,0,3,15
2021-10-11,Estonia,Wales,0,1,3,2,3,2,6,7,1440,1456,FALSE,84,2,3,3,2,5,8
2021-10-08,Estonia,Belarus,2,0,3,2,3,2,5,7,1413,1809,FALSE,-296,2,3,5,0,3,15
2021-09-05,Estonia,Northern Ireland,0,1,4,1,3,2,6,7,1403,2128,FALSE,-625,3,2,3,2,8,4
2021-09-02,Estonia,Belgium,2,5,4,1,3,2,6,6,1405,1281,FALSE,224,5,0,2,3,9,3
2021-06-10,Estonia,Latvia,2,1,4,1,3,2,6,11,1398,1684,FALSE,-186,4,1,5,0,8,15
2020-10-14,Estonia,Armenia,1,1,3,2,4,1,5,9,1379,1568,FALSE,-89,5,0,4,1,13,8
2020-10-11,Estonia,North Macedonia,3,3,2,3,4,1,2,8,1373,1343,FALSE,130,,,,,,
2020-10-07,Estonia,Lithuania,1,3,2,3,4,1,4,8,1395,1461,FALSE,34,3,2,4,1,3,13
2020-09-05,Estonia,Georgia,0,1,2,3,4,1,4,7,1469,1613,FALSE,-44,5,0,2,3,10,2
2018-10-15,Estonia,Hungary,3,3,1,4,5,0,1,7,1447,1642,FALSE,-95,3,2,5,0,4,6
2018-10-12,Estonia,Finland,0,1,2,3,4,1,3,6,1463,1626,FALSE,-63,4,1,1,4,9,2
2018-09-08,Estonia,Greece,0,1,2,3,3,2,3,6,1488,1733,FALSE,-145,2,3,3,2,2,7
2018-06-09,Estonia,Morocco,1,3,2,3,3,2,3,4,1498,1361,FALSE,237,4,1,2,3,8,2
2018-05-30,Estonia,Lithuania,2,0,3,2,3,2,3,4,1505,1504,FALSE,101,2,3,4,1,2,10
2018-01-07,Estonia,Sweden,1,1,4,1,2,3,7,4,1508,1333,FALSE,175,3,2,1,4,13,2
2022-07-13,Eswatini,Senegal,1,1,5,0,3,2,9,6,1309,1223,FALSE,86,3,2,2,3,5,2
2022-07-10,Eswatini,Lesotho,2,0,4,1,4,1,7,7,1282,1289,FALSE,-7,3,2,4,1,5,5
2022-07-08,Eswatini,Malawi,1,1,4,1,3,2,7,6,1282,955,FALSE,327,3,2,4,1,4,6
2022-07-06,Eswatini,Mauritius,3,0,4,1,4,1,6,7,1272,1583,FALSE,-311,1,4,4,1,3,6
2022-03-27,Eswatini,Somalia,2,1,4,1,2,3,10,3,1263,903,FALSE,360,,,,,,
2022-03-23,Eswatini,Somalia,3,0,4,1,3,2,8,4,1242,1208,FALSE,34,,,,,,
2022-03-08,Eswatini,Lesotho,0,0,5,0,3,2,9,4,1254,1196,FALSE,158,2,3,5,0,3,16
2022-03-08,Eswatini,Lesotho,0,0,5,0,3,2,9,4,1254,1196,FALSE,158,2,3,4,1,3,12
2022-03-08,Eswatini,Lesotho,4,0,4,1,4,1,5,5,1246,1319,FALSE,27,2,3,5,0,3,16
2022-03-08,Eswatini,Lesotho,4,0,4,1,4,1,5,5,1246,1319,FALSE,27,2,3,4,1,3,12
2022-03-08,Eswatini,Lesotho,0,0,5,0,3,2,9,4,1254,1196,FALSE,158,2,3,5,0,3,16
2022-03-08,Eswatini,Lesotho,0,0,5,0,3,2,9,4,1254,1196,FALSE,158,2,3,4,1,3,12
2022-03-08,Eswatini,Lesotho,4,0,4,1,4,1,5,5,1246,1319,FALSE,27,2,3,5,0,3,16
2022-03-08,Eswatini,Lesotho,4,0,4,1,4,1,5,5,1246,1319,FALSE,27,2,3,4,1,3,12
2021-07-18,Eswatini,Mozambique,1,1,4,1,4,1,7,5,1241,1691,FALSE,-450,2,3,2,3,3,4
2021-07-16,Eswatini,Senegal,2,2,4,1,4,1,6,4,1223,1300,FALSE,-77,5,0,3,2,8,4
2021-07-10,Eswatini,Zambia,1,0,4,1,4,1,6,4,1185,1497,FALSE,-312,5,0,4,1,7,10
2021-07-06,Eswatini,Lesotho,3,1,4,1,3,2,4,5,1151,1273,FALSE,-122,0,5,3,2,0,9
2021-06-05,Eswatini,Lesotho,1,0,3,2,4,1,3,8,1121,1726,FALSE,-605,0,5,3,2,0,9
2021-03-26,Eswatini,Guinea-Bissau,1,3,2,3,4,1,2,10,1126,1379,FALSE,-153,2,3,3,2,3,4
2020-11-16,Eswatini,Congo,0,0,2,3,5,0,2,12,1117,1388,FALSE,-171,4,1,4,1,7,5
2018-11-18,Eswatini,Niger,1,2,1,4,5,0,1,11,1225,1598,FALSE,-273,3,2,5,0,6,13
2018-10-16,Eswatini,Egypt,0,2,1,4,5,0,1,11,1236,1587,FALSE,-251,4,1,4,1,12,7
2018-09-09,Eswatini,Tunisia,0,2,1,4,4,1,1,6,1250,1329,FALSE,21,4,1,5,0,7,11
2018-04-19,Eswatini,Namibia,1,0,,,,,,,,,FALSE,,3,2,3,2,6,3
2022-09-26,Ethiopia,Sudan,2,2,5,0,4,1,6,5,1356,1307,FALSE,149,3,2,4,1,4,6
